event_id,machine_id,location_id,event_timestamp,event_type,severity,downtime_minutes,software_version,error_code,event_date,requires_investigation,planned_event_flag
24,MCH000049,LOC0006,2025-01-02 23:45:58,Door Open,Low,2,v5.1,DR-848,2025-01-02,0,0
25,MCH000032,LOC0003,2025-01-03 00:58:16,Communication Loss,Medium,52,v5.1,CM-898,2025-01-03,0,0
26,MCH000049,LOC0006,2025-01-03 01:29:12,Printer Error,Medium,6,v5.1,PR-318,2025-01-03,0,0
27,MCH000012,LOC0008,2025-01-03 02:30:25,Cash Refill,Low,4,v4.2,CR-957,2025-01-03,0,1
28,MCH000098,LOC0006,2025-01-03 05:03:03,Door Open,Low,0,v5.0,DR-196,2025-01-03,0,0
29,MCH000057,LOC0007,2025-01-03 06:18:32,Door Open,Low,0,v5.0,DR-143,2025-01-03,0,0
30,MCH000010,LOC0009,2025-01-03 06:58:12,Printer Error,Medium,28,v4.2,PR-150,2025-01-03,0,0
31,MCH000085,LOC0006,2025-01-03 08:07:31,Door Open,Low,0,v5.0,DR-441,2025-01-03,0,0
32,MCH000036,LOC0008,2025-01-03 08:18:14,Software Restart,Low,8,v5.1,SR-878,2025-01-03,0,0
33,MCH000088,LOC0008,2025-01-03 09:29:25,Software Restart,Low,4,v5.0,SR-202,2025-01-03,0,0
34,MCH000024,LOC0007,2025-01-03 09:40:56,Door Open,Low,0,v4.1,DR-978,2025-01-03,0,0
35,MCH000075,LOC0009,2025-01-03 09:48:40,Cash Refill,Low,4,v4.1,CR-162,2025-01-03,0,1
36,MCH000041,LOC0007,2025-01-03 10:39:23,Software Restart,Low,2,v5.0,SR-455,2025-01-03,0,0
37,MCH000075,LOC0009,2025-01-03 12:00:09,Software Upgrade,Low,16,v4.1,SU-243,2025-01-03,0,1
38,MCH000086,LOC0008,2025-01-03 12:59:23,Hopper Empty,Medium,6,v4.1,HP-450,2025-01-03,0,0
39,MCH000006,LOC0002,2025-01-03 19:58:57,Software Restart,Low,2,v4.1,SR-369,2025-01-03,0,0
40,MCH000022,LOC0008,2025-01-03 23:17:05,Printer Error,Medium,19,v5.1,PR-650,2025-01-03,0,0
41,MCH000003,LOC0006,2025-01-04 00:36:15,Software Restart,Low,5,v5.0,SR-645,2025-01-04,0,0
42,MCH000064,LOC0007,2025-01-04 02:06:47,Door Open,Low,1,v4.1,DR-604,2025-01-04,0,0
43,MCH000047,LOC0010,2025-01-04 03:04:43,Cash Refill,Low,4,v5.0,CR-431,2025-01-04,0,1
44,MCH000072,LOC0004,2025-01-04 06:36:44,Printer Error,High,25,v5.0,PR-156,2025-01-04,1,0
45,MCH000061,LOC0007,2025-01-04 08:58:39,Cash Refill,Low,4,v4.1,CR-110,2025-01-04,0,1
46,MCH000069,LOC0002,2025-01-04 11:16:24,Bill Acceptor Error,Medium,20,v4.2,BA-180,2025-01-04,0,0
47,MCH000049,LOC0006,2025-01-04 11:42:14,Preventive Maintenance,Low,26,v5.1,PM-748,2025-01-04,0,1
48,MCH000020,LOC0003,2025-01-04 12:17:03,Printer Error,Medium,16,v5.1,PR-336,2025-01-04,0,0
49,MCH000022,LOC0008,2025-01-04 12:29:02,Cash Refill,Low,4,v5.1,CR-432,2025-01-04,0,1
50,MCH000015,LOC0001,2025-01-04 12:37:45,Door Open,Low,2,v5.1,DR-495,2025-01-04,0,0
51,MCH000049,LOC0006,2025-01-04 13:09:28,Software Restart,Medium,5,v5.1,SR-670,2025-01-04,0,0
52,MCH000035,LOC0001,2025-01-04 13:51:35,Hopper Empty,Medium,14,v5.0,HP-884,2025-01-04,0,0
53,MCH000088,LOC0008,2025-01-04 15:00:35,Door Open,Low,0,v5.0,DR-324,2025-01-04,0,0
54,MCH000079,LOC0007,2025-01-04 15:55:28,Ticket Jam,High,9,v5.1,TJ-248,2025-01-04,1,0
55,MCH000067,LOC0010,2025-01-04 16:03:45,Door Open,Medium,1,v5.0,DR-429,2025-01-04,0,0
56,MCH000099,LOC0009,2025-01-04 16:51:53,Software Restart,Low,4,v5.1,SR-810,2025-01-04,0,0
57,MCH000080,LOC0006,2025-01-04 18:02:24,Cash Refill,Low,3,v4.2,CR-515,2025-01-04,0,1
58,MCH000075,LOC0009,2025-01-04 20:34:39,Door Open,Medium,1,v4.1,DR-895,2025-01-04,0,0
59,MCH000093,LOC0006,2025-01-04 22:04:25,Bill Acceptor Error,Medium,11,v5.1,BA-847,2025-01-04,0,0
60,MCH000060,LOC0006,2025-01-04 22:32:20,Preventive Maintenance,Low,20,v4.2,PM-350,2025-01-04,0,1
61,MCH000069,LOC0002,2025-01-05 01:36:34,Bill Acceptor Error,Medium,11,v4.2,BA-765,2025-01-05,0,0
62,MCH000062,LOC0006,2025-01-05 03:04:48,Software Upgrade,Low,17,v5.0,SU-986,2025-01-05,0,1
63,MCH000062,LOC0006,2025-01-05 07:52:22,Cash Refill,Low,4,v5.0,CR-869,2025-01-05,0,1
64,MCH000083,LOC0010,2025-01-05 08:04:03,Power Failure,Medium,50,v5.1,PF-585,2025-01-05,0,0
65,MCH000057,LOC0007,2025-01-05 08:14:31,Communication Loss,High,101,v5.0,CM-378,2025-01-05,1,0
66,MCH000088,LOC0008,2025-01-05 08:22:18,Bill Acceptor Error,Medium,13,v5.0,BA-310,2025-01-05,0,0
67,MCH000061,LOC0007,2025-01-05 08:32:06,Software Restart,Medium,7,v4.1,SR-226,2025-01-05,0,0
68,MCH000033,LOC0009,2025-01-05 09:06:42,Software Upgrade,Low,17,v4.1,SU-385,2025-01-05,0,1
69,MCH000062,LOC0006,2025-01-05 09:54:44,Software Restart,Low,2,v5.0,SR-116,2025-01-05,0,0
70,MCH000039,LOC0009,2025-01-05 10:10:21,Software Upgrade,Low,16,v4.1,SU-603,2025-01-05,0,1
71,MCH000080,LOC0006,2025-01-05 15:24:59,Door Open,Low,0,v4.2,DR-490,2025-01-05,0,0
72,MCH000099,LOC0009,2025-01-05 15:29:27,Ticket Jam,Medium,17,v5.1,TJ-262,2025-01-05,0,0
73,MCH000066,LOC0009,2025-01-05 19:16:06,Door Open,Low,3,v5.0,DR-272,2025-01-05,0,0
74,MCH000085,LOC0006,2025-01-05 19:36:53,Cash Refill,Low,4,v5.0,CR-156,2025-01-05,0,1
75,MCH000071,LOC0002,2025-01-06 00:38:31,Software Restart,Low,9,v5.1,SR-421,2025-01-06,0,0
76,MCH000095,LOC0009,2025-01-06 02:00:26,Hopper Empty,Medium,5,v5.0,HP-530,2025-01-06,0,0
77,MCH000015,LOC0001,2025-01-06 02:18:46,Printer Error,Medium,6,v5.1,PR-495,2025-01-06,0,0
78,MCH000047,LOC0010,2025-01-06 03:26:10,Hopper Empty,Medium,5,v5.0,HP-501,2025-01-06,0,0
79,MCH000036,LOC0008,2025-01-06 03:48:19,Preventive Maintenance,Low,31,v5.1,PM-113,2025-01-06,0,1
80,MCH000095,LOC0009,2025-01-06 03:58:24,Software Upgrade,Low,15,v5.0,SU-604,2025-01-06,0,1
81,MCH000052,LOC0001,2025-01-06 04:51:43,Door Open,Low,1,v4.1,DR-747,2025-01-06,0,0
82,MCH000015,LOC0001,2025-01-06 05:07:21,Door Open,Low,2,v5.1,DR-170,2025-01-06,0,0
83,MCH000093,LOC0006,2025-01-06 05:10:58,Door Open,Low,1,v5.1,DR-744,2025-01-06,0,0
84,MCH000018,LOC0007,2025-01-06 06:45:04,Printer Error,Medium,21,v5.0,PR-560,2025-01-06,0,0
85,MCH000017,LOC0002,2025-01-06 06:59:48,Hopper Empty,Medium,11,v5.0,HP-477,2025-01-06,0,0
86,MCH000036,LOC0008,2025-01-06 07:45:31,Communication Loss,High,103,v5.1,CM-329,2025-01-06,1,0
87,MCH000060,LOC0006,2025-01-06 07:52:52,Preventive Maintenance,Medium,23,v4.2,PM-546,2025-01-06,0,1
88,MCH000088,LOC0008,2025-01-06 09:22:47,Door Open,Low,2,v5.0,DR-602,2025-01-06,0,0
89,MCH000057,LOC0007,2025-01-06 10:50:05,Communication Loss,Medium,39,v5.0,CM-995,2025-01-06,0,0
90,MCH000082,LOC0007,2025-01-06 12:36:30,Ticket Jam,High,25,v4.1,TJ-132,2025-01-06,1,0
91,MCH000007,LOC0002,2025-01-06 14:26:08,Preventive Maintenance,Medium,41,v5.0,PM-770,2025-01-06,0,1
92,MCH000082,LOC0007,2025-01-06 14:45:36,Communication Loss,Medium,57,v4.1,CM-946,2025-01-06,0,0
93,MCH000053,LOC0009,2025-01-06 15:05:08,Ticket Jam,Medium,14,v4.2,TJ-950,2025-01-06,0,0
94,MCH000025,LOC0002,2025-01-06 15:56:19,Ticket Jam,Medium,6,v4.2,TJ-164,2025-01-06,0,0
95,MCH000015,LOC0001,2025-01-06 15:57:16,Printer Error,Medium,12,v5.1,PR-283,2025-01-06,0,0
96,MCH000001,LOC0004,2025-01-06 18:13:30,Communication Loss,High,15,v5.0,CM-103,2025-01-06,1,0
97,MCH000052,LOC0001,2025-01-06 18:58:35,Cash Refill,Low,3,v4.1,CR-589,2025-01-06,0,1
98,MCH000035,LOC0001,2025-01-06 19:57:20,Cash Refill,Low,5,v5.0,CR-148,2025-01-06,0,1
99,MCH000029,LOC0002,2025-01-06 20:20:43,Ticket Jam,Medium,15,v5.1,TJ-958,2025-01-06,0,0
100,MCH000052,LOC0001,2025-01-06 20:29:03,Printer Error,Medium,6,v4.1,PR-350,2025-01-06,0,0
101,MCH000066,LOC0009,2025-01-06 21:33:46,Printer Error,Medium,24,v5.0,PR-966,2025-01-06,0,0
102,MCH000028,LOC0003,2025-01-06 21:38:27,Ticket Jam,Medium,11,v5.1,TJ-604,2025-01-06,0,0
103,MCH000042,LOC0007,2025-01-06 21:44:47,Bill Acceptor Error,Medium,21,v4.1,BA-332,2025-01-06,0,0
104,MCH000099,LOC0009,2025-01-06 21:46:51,Bill Acceptor Error,Medium,9,v5.1,BA-302,2025-01-06,0,0
105,MCH000051,LOC0006,2025-01-06 22:34:46,Door Open,Low,1,v4.1,DR-719,2025-01-06,0,0
106,MCH000002,LOC0001,2025-01-06 23:36:33,Preventive Maintenance,Low,20,v4.2,PM-745,2025-01-06,0,1
107,MCH000088,LOC0008,2025-01-07 00:15:01,Ticket Jam,Medium,9,v5.0,TJ-315,2025-01-07,0,0
108,MCH000030,LOC0001,2025-01-07 00:51:12,Power Failure,Medium,16,v5.0,PF-895,2025-01-07,0,0
109,MCH000008,LOC0006,2025-01-07 00:57:56,Door Open,Low,3,v4.1,DR-512,2025-01-07,0,0
110,MCH000057,LOC0007,2025-01-07 02:23:32,Cash Refill,Low,5,v5.0,CR-117,2025-01-07,0,1
111,MCH000027,LOC0002,2025-01-07 02:29:07,Hopper Empty,Medium,8,v5.1,HP-868,2025-01-07,0,0
112,MCH000002,LOC0001,2025-01-07 03:40:31,Ticket Jam,Medium,13,v4.2,TJ-261,2025-01-07,0,0
113,MCH000014,LOC0007,2025-01-07 06:17:57,Door Open,Low,0,v5.1,DR-407,2025-01-07,0,0
114,MCH000026,LOC0001,2025-01-07 07:40:05,Software Upgrade,Low,19,v4.1,SU-826,2025-01-07,0,1
115,MCH000096,LOC0004,2025-01-07 08:44:18,Ticket Jam,Medium,6,v5.1,TJ-821,2025-01-07,0,0
116,MCH000081,LOC0005,2025-01-07 09:00:33,Bill Acceptor Error,Medium,30,v5.0,BA-802,2025-01-07,0,0
117,MCH000090,LOC0001,2025-01-07 09:45:38,Preventive Maintenance,Low,27,v4.2,PM-151,2025-01-07,0,1
118,MCH000006,LOC0002,2025-01-07 10:17:28,Communication Loss,High,27,v4.1,CM-756,2025-01-07,1,0
119,MCH000084,LOC0008,2025-01-07 12:09:45,Ticket Jam,Medium,25,v5.0,TJ-620,2025-01-07,0,0
120,MCH000021,LOC0006,2025-01-07 14:18:06,Software Restart,Low,3,v4.1,SR-137,2025-01-07,0,0
121,MCH000001,LOC0004,2025-01-07 14:43:02,Communication Loss,Medium,64,v5.0,CM-674,2025-01-07,0,0
122,MCH000075,LOC0009,2025-01-07 14:56:35,Bill Acceptor Error,Medium,21,v4.1,BA-561,2025-01-07,0,0
123,MCH000018,LOC0007,2025-01-07 14:59:23,Ticket Jam,Medium,7,v5.0,TJ-560,2025-01-07,0,0
124,MCH000091,LOC0004,2025-01-07 16:02:32,Ticket Jam,Medium,13,v4.1,TJ-183,2025-01-07,0,0
125,MCH000077,LOC0004,2025-01-07 21:37:07,Hopper Empty,Medium,7,v4.1,HP-863,2025-01-07,0,0
126,MCH000007,LOC0002,2025-01-07 22:57:26,Software Restart,Low,4,v5.0,SR-699,2025-01-07,0,0
127,MCH000003,LOC0006,2025-01-07 23:43:23,Software Restart,Low,5,v5.0,SR-770,2025-01-07,0,0
128,MCH000099,LOC0009,2025-01-08 03:59:10,Preventive Maintenance,Low,20,v5.1,PM-713,2025-01-08,0,1
129,MCH000097,LOC0007,2025-01-08 05:16:22,Printer Error,Medium,10,v4.2,PR-444,2025-01-08,0,0
130,MCH000066,LOC0009,2025-01-08 06:00:15,Door Open,Low,2,v5.0,DR-954,2025-01-08,0,0
131,MCH000007,LOC0002,2025-01-08 06:02:38,Printer Error,Medium,10,v5.0,PR-140,2025-01-08,0,0
132,MCH000006,LOC0002,2025-01-08 07:41:16,Cash Refill,Low,3,v4.1,CR-417,2025-01-08,0,1
133,MCH000052,LOC0001,2025-01-08 09:37:46,Printer Error,Medium,19,v4.1,PR-175,2025-01-08,0,0
134,MCH000017,LOC0002,2025-01-08 09:55:42,Cash Refill,Low,4,v5.0,CR-153,2025-01-08,0,1
135,MCH000059,LOC0005,2025-01-08 10:12:09,Door Open,Low,0,v5.0,DR-825,2025-01-08,0,0
136,MCH000057,LOC0007,2025-01-08 10:22:01,Communication Loss,Medium,28,v5.0,CM-722,2025-01-08,0,0
137,MCH000087,LOC0001,2025-01-08 10:32:22,Preventive Maintenance,Low,22,v4.2,PM-934,2025-01-08,0,1
138,MCH000049,LOC0006,2025-01-08 10:56:01,Door Open,Low,2,v5.1,DR-727,2025-01-08,0,0
139,MCH000033,LOC0009,2025-01-08 11:49:26,Preventive Maintenance,Low,25,v4.1,PM-548,2025-01-08,0,1
140,MCH000023,LOC0003,2025-01-08 12:26:23,Communication Loss,High,38,v4.2,CM-963,2025-01-08,1,0
141,MCH000052,LOC0001,2025-01-08 12:27:33,Software Restart,Low,3,v4.1,SR-844,2025-01-08,0,0
142,MCH000051,LOC0006,2025-01-08 17:41:37,Printer Error,Medium,26,v4.1,PR-722,2025-01-08,0,0
143,MCH000046,LOC0002,2025-01-08 18:59:08,Printer Error,Medium,26,v4.2,PR-289,2025-01-08,0,0
144,MCH000087,LOC0001,2025-01-08 21:36:02,Software Restart,Low,4,v4.2,SR-420,2025-01-08,0,0
145,MCH000050,LOC0007,2025-01-08 23:29:47,Hopper Empty,Medium,16,v4.2,HP-954,2025-01-08,0,0
146,MCH000070,LOC0007,2025-01-09 00:32:51,Hopper Empty,Medium,18,v4.1,HP-687,2025-01-09,0,0
147,MCH000099,LOC0009,2025-01-09 01:02:17,Software Upgrade,Low,17,v5.1,SU-493,2025-01-09,0,1
148,MCH000015,LOC0001,2025-01-09 02:53:28,Software Upgrade,Low,15,v5.1,SU-611,2025-01-09,0,1
149,MCH000080,LOC0006,2025-01-09 05:38:09,Hopper Empty,Medium,5,v4.2,HP-150,2025-01-09,0,0
150,MCH000075,LOC0009,2025-01-09 05:54:13,Ticket Jam,Medium,8,v4.1,TJ-656,2025-01-09,0,0
151,MCH000049,LOC0006,2025-01-09 08:38:19,Ticket Jam,Medium,6,v5.1,TJ-454,2025-01-09,0,0
152,MCH000091,LOC0004,2025-01-09 08:48:31,Bill Acceptor Error,High,39,v4.1,BA-416,2025-01-09,1,0
153,MCH000042,LOC0007,2025-01-09 10:16:34,Door Open,Low,0,v4.1,DR-801,2025-01-09,0,0
154,MCH000086,LOC0008,2025-01-09 10:19:35,Ticket Jam,Medium,17,v4.1,TJ-207,2025-01-09,0,0
155,MCH000018,LOC0007,2025-01-09 11:03:56,Preventive Maintenance,Low,36,v5.0,PM-390,2025-01-09,0,1
156,MCH000075,LOC0009,2025-01-09 11:20:27,Door Open,Low,0,v4.1,DR-152,2025-01-09,0,0
157,MCH000070,LOC0007,2025-01-09 14:35:38,Communication Loss,High,58,v4.1,CM-307,2025-01-09,1,0
158,MCH000047,LOC0010,2025-01-09 14:52:24,Communication Loss,Medium,29,v5.0,CM-229,2025-01-09,0,0
159,MCH000088,LOC0008,2025-01-09 14:58:02,Software Upgrade,Medium,25,v5.0,SU-561,2025-01-09,0,1
160,MCH000006,LOC0002,2025-01-09 15:00:35,Bill Acceptor Error,Medium,19,v4.1,BA-569,2025-01-09,0,0
161,MCH000098,LOC0006,2025-01-09 16:57:02,Cash Refill,Low,3,v5.0,CR-279,2025-01-09,0,1
162,MCH000076,LOC0004,2025-01-09 17:42:28,Software Upgrade,Low,16,v4.1,SU-215,2025-01-09,0,1
163,MCH000096,LOC0004,2025-01-09 18:02:36,Hardware Failure,High,33,v5.1,HF-708,2025-01-09,1,0
164,MCH000061,LOC0007,2025-01-09 19:24:38,Hardware Failure,Medium,48,v4.1,HF-348,2025-01-09,0,0
165,MCH000060,LOC0006,2025-01-09 21:27:13,Hopper Empty,Medium,10,v4.2,HP-854,2025-01-09,0,0
166,MCH000088,LOC0008,2025-01-09 22:21:37,Preventive Maintenance,Low,23,v5.0,PM-362,2025-01-09,0,1
167,MCH000073,LOC0008,2025-01-09 22:21:39,Bill Acceptor Error,Medium,20,v4.2,BA-516,2025-01-09,0,0
168,MCH000017,LOC0002,2025-01-09 23:20:38,Bill Acceptor Error,Medium,8,v5.0,BA-263,2025-01-09,0,0
169,MCH000072,LOC0004,2025-01-09 23:28:24,Ticket Jam,Medium,7,v5.0,TJ-427,2025-01-09,0,0
170,MCH000041,LOC0007,2025-01-10 02:06:57,Ticket Jam,Medium,24,v5.0,TJ-862,2025-01-10,0,0
171,MCH000077,LOC0004,2025-01-10 05:13:03,Ticket Jam,Medium,23,v4.1,TJ-124,2025-01-10,0,0
172,MCH000036,LOC0008,2025-01-10 05:34:10,Bill Acceptor Error,Medium,27,v5.1,BA-568,2025-01-10,0,0
173,MCH000061,LOC0007,2025-01-10 06:07:51,Ticket Jam,Medium,5,v4.1,TJ-790,2025-01-10,0,0
174,MCH000021,LOC0006,2025-01-10 06:37:34,Cash Refill,Low,4,v4.1,CR-359,2025-01-10,0,1
175,MCH000001,LOC0004,2025-01-10 07:58:37,Ticket Jam,Medium,19,v5.0,TJ-423,2025-01-10,0,0
176,MCH000086,LOC0008,2025-01-10 08:34:01,Printer Error,Medium,15,v4.1,PR-462,2025-01-10,0,0
177,MCH000021,LOC0006,2025-01-10 08:53:36,Printer Error,Medium,17,v4.1,PR-220,2025-01-10,0,0
178,MCH000069,LOC0002,2025-01-10 10:06:44,Preventive Maintenance,Low,21,v4.2,PM-196,2025-01-10,0,1
179,MCH000039,LOC0009,2025-01-10 10:31:10,Software Restart,Low,7,v4.1,SR-962,2025-01-10,0,0
180,MCH000001,LOC0004,2025-01-10 11:45:27,Communication Loss,High,23,v5.0,CM-354,2025-01-10,1,0
181,MCH000068,LOC0004,2025-01-10 13:02:12,Software Restart,Medium,2,v5.1,SR-377,2025-01-10,0,0
182,MCH000052,LOC0001,2025-01-10 14:53:31,Preventive Maintenance,Low,22,v4.1,PM-493,2025-01-10,0,1
183,MCH000079,LOC0007,2025-01-10 15:34:45,Bill Acceptor Error,Medium,15,v5.1,BA-635,2025-01-10,0,0
184,MCH000094,LOC0008,2025-01-10 16:06:58,Software Restart,Low,2,v5.0,SR-291,2025-01-10,0,0
185,MCH000095,LOC0009,2025-01-10 16:11:58,Door Open,Low,1,v5.0,DR-243,2025-01-10,0,0
186,MCH000068,LOC0004,2025-01-10 18:21:49,Communication Loss,Medium,30,v5.1,CM-956,2025-01-10,0,0
187,MCH000029,LOC0002,2025-01-10 19:36:47,Ticket Jam,High,15,v5.1,TJ-466,2025-01-10,1,0
188,MCH000003,LOC0006,2025-01-10 20:19:51,Hopper Empty,Medium,9,v5.0,HP-739,2025-01-10,0,0
189,MCH000093,LOC0006,2025-01-10 20:44:16,Door Open,Low,2,v5.1,DR-779,2025-01-10,0,0
190,MCH000076,LOC0004,2025-01-11 01:59:45,Ticket Jam,High,8,v4.1,TJ-378,2025-01-11,1,0
191,MCH000083,LOC0010,2025-01-11 04:06:54,Cash Refill,Low,3,v5.1,CR-126,2025-01-11,0,1
192,MCH000064,LOC0007,2025-01-11 04:11:59,Door Open,Low,0,v4.1,DR-167,2025-01-11,0,0
193,MCH000082,LOC0007,2025-01-11 04:58:06,Preventive Maintenance,Low,34,v4.1,PM-914,2025-01-11,0,1
194,MCH000065,LOC0004,2025-01-11 06:00:51,Hopper Empty,Medium,15,v5.1,HP-560,2025-01-11,0,0
195,MCH000088,LOC0008,2025-01-11 06:32:03,Cash Refill,Low,3,v5.0,CR-229,2025-01-11,0,1
196,MCH000063,LOC0007,2025-01-11 07:28:39,Preventive Maintenance,Low,22,v4.2,PM-760,2025-01-11,0,1
197,MCH000092,LOC0010,2025-01-11 09:17:39,Door Open,Low,1,v5.0,DR-298,2025-01-11,0,0
198,MCH000098,LOC0006,2025-01-11 11:03:42,Software Upgrade,Low,15,v5.0,SU-245,2025-01-11,0,1
199,MCH000002,LOC0001,2025-01-11 11:40:12,Hopper Empty,Medium,8,v4.2,HP-395,2025-01-11,0,0
200,MCH000085,LOC0006,2025-01-11 12:26:26,Software Upgrade,Low,15,v5.0,SU-549,2025-01-11,0,1
201,MCH000048,LOC0005,2025-01-11 12:58:52,Bill Acceptor Error,Medium,27,v5.0,BA-851,2025-01-11,0,0
202,MCH000035,LOC0001,2025-01-11 14:17:38,Software Restart,Low,7,v5.0,SR-558,2025-01-11,0,0
203,MCH000011,LOC0006,2025-01-11 14:18:28,Communication Loss,Medium,89,v5.0,CM-127,2025-01-11,0,0
204,MCH000068,LOC0004,2025-01-11 14:49:43,Preventive Maintenance,Low,23,v5.1,PM-533,2025-01-11,0,1
205,MCH000076,LOC0004,2025-01-11 15:51:33,Door Open,Low,1,v4.1,DR-609,2025-01-11,0,0
206,MCH000080,LOC0006,2025-01-11 16:46:10,Preventive Maintenance,Low,24,v4.2,PM-238,2025-01-11,0,1
207,MCH000075,LOC0009,2025-01-11 17:07:33,Door Open,Medium,0,v4.1,DR-410,2025-01-11,0,0
208,MCH000067,LOC0010,2025-01-11 17:17:14,Software Upgrade,Low,24,v5.0,SU-931,2025-01-11,0,1
209,MCH000016,LOC0007,2025-01-11 17:45:42,Bill Acceptor Error,Medium,30,v4.1,BA-938,2025-01-11,0,0
210,MCH000086,LOC0008,2025-01-11 18:16:01,Door Open,Low,0,v4.1,DR-447,2025-01-11,0,0
211,MCH000013,LOC0009,2025-01-11 18:22:57,Communication Loss,Medium,36,v5.1,CM-295,2025-01-11,0,0
212,MCH000075,LOC0009,2025-01-11 19:18:32,Power Failure,Medium,62,v4.1,PF-209,2025-01-11,0,0
213,MCH000030,LOC0001,2025-01-11 19:38:25,Software Upgrade,Low,17,v5.0,SU-888,2025-01-11,0,1
214,MCH000012,LOC0008,2025-01-11 21:36:07,Software Restart,Medium,10,v4.2,SR-760,2025-01-11,0,0
215,MCH000063,LOC0007,2025-01-11 22:13:33,Printer Error,Medium,16,v4.2,PR-784,2025-01-11,0,0
216,MCH000100,LOC0004,2025-01-11 23:19:45,Printer Error,Medium,23,v4.1,PR-947,2025-01-11,0,0
217,MCH000087,LOC0001,2025-01-12 01:17:36,Door Open,Low,0,v4.2,DR-946,2025-01-12,0,0
218,MCH000061,LOC0007,2025-01-12 01:59:36,Software Upgrade,Low,18,v4.1,SU-752,2025-01-12,0,1
219,MCH000052,LOC0001,2025-01-12 02:04:05,Hopper Empty,Medium,12,v4.1,HP-115,2025-01-12,0,0
220,MCH000058,LOC0007,2025-01-12 03:06:35,Cash Refill,Low,4,v5.0,CR-325,2025-01-12,0,1
221,MCH000007,LOC0002,2025-01-12 04:03:36,Hardware Failure,High,144,v5.0,HF-277,2025-01-12,1,0
222,MCH000044,LOC0003,2025-01-12 05:03:16,Preventive Maintenance,Medium,51,v5.0,PM-954,2025-01-12,0,1
223,MCH000089,LOC0003,2025-01-12 06:02:52,Ticket Jam,Medium,13,v5.0,TJ-896,2025-01-12,0,0
224,MCH000015,LOC0001,2025-01-12 06:32:53,Software Upgrade,Low,16,v5.1,SU-145,2025-01-12,0,1
225,MCH000069,LOC0002,2025-01-12 06:40:03,Door Open,Low,0,v4.2,DR-455,2025-01-12,0,0
226,MCH000038,LOC0001,2025-01-12 07:39:22,Preventive Maintenance,Low,20,v4.2,PM-621,2025-01-12,0,1
227,MCH000019,LOC0003,2025-01-12 09:37:22,Communication Loss,Medium,38,v4.2,CM-132,2025-01-12,0,0
