player_id,enrollment_date,loyalty_tier,age_band,home_region,marketing_opt_in,active_flag
PLY00000033,2022-01-18,Standard,60+,Southwest,1,1
PLY00000034,2024-12-15,Standard,50-59,Southwest,0,1
PLY00000035,2024-06-02,Standard,40-49,Southwest,0,1
PLY00000036,2022-06-18,Standard,60+,Southeast,1,1
PLY00000037,2023-08-25,Standard,50-59,Northeast,1,1
PLY00000038,2023-03-01,Standard,21-29,Southeast,1,1
PLY00000039,2023-02-24,Standard,40-49,Southwest,0,0
PLY00000040,2026-02-04,Standard,60+,Southeast,1,1
PLY00000041,2025-05-07,Standard,30-39,Northeast,1,1
PLY00000042,2022-09-22,Standard,60+,Midwest,0,1
PLY00000043,2025-02-13,Standard,60+,West,0,1
PLY00000044,2023-02-04,Standard,60+,Southwest,1,1
PLY00000045,2023-11-26,Standard,50-59,Midwest,0,0
PLY00000046,2025-06-20,Standard,50-59,Southeast,0,1
PLY00000047,2023-08-29,Standard,50-59,Southwest,1,1
PLY00000048,2022-03-05,Gold,30-39,Southwest,0,1
PLY00000049,2025-04-20,Platinum,40-49,Northeast,0,1
PLY00000050,2026-03-19,Standard,50-59,Northeast,0,1
PLY00000051,2022-05-14,Silver,30-39,Northeast,1,0
PLY00000052,2021-12-18,Standard,50-59,Northeast,0,1
PLY00000053,2026-02-17,Gold,50-59,Midwest,1,1
PLY00000054,2021-08-28,Standard,60+,Northeast,1,1
PLY00000055,2022-04-29,Silver,40-49,Southeast,0,1
PLY00000056,2023-07-18,Standard,21-29,Southwest,1,1
PLY00000057,2022-12-12,Standard,40-49,Northeast,1,1
PLY00000058,2024-12-27,Standard,60+,Southwest,1,1
PLY00000059,2025-08-30,Standard,21-29,West,0,1
PLY00000060,2025-08-17,Standard,60+,Southeast,1,1
PLY00000061,2023-05-09,Standard,21-29,Southwest,0,1
PLY00000062,2024-12-10,Standard,50-59,Midwest,0,1
PLY00000063,2022-01-12,Platinum,40-49,Southwest,0,1
PLY00000064,2022-12-07,Standard,50-59,Northeast,1,1
PLY00000065,2024-10-03,Silver,40-49,Northeast,0,1
PLY00000066,2021-07-20,Standard,60+,Northeast,0,1
PLY00000067,2024-11-07,Gold,40-49,Southeast,1,1
PLY00000068,2023-10-15,Silver,60+,Midwest,1,1
PLY00000069,2025-05-27,Silver,30-39,Northeast,0,1
PLY00000070,2023-12-17,Standard,50-59,Northeast,1,1
PLY00000071,2025-02-17,Standard,40-49,Midwest,0,1
PLY00000072,2026-04-05,Standard,60+,Midwest,1,1
PLY00000073,2025-09-03,Gold,40-49,Southwest,0,1
PLY00000074,2022-11-06,Gold,21-29,Southwest,0,1
PLY00000075,2023-02-23,Platinum,50-59,West,1,1
PLY00000076,2024-01-21,Standard,60+,Northeast,1,1
PLY00000077,2023-05-21,Silver,60+,Southwest,0,0
PLY00000078,2022-01-11,Standard,30-39,Southwest,1,1
PLY00000079,2026-02-22,Silver,60+,Southeast,1,1
PLY00000080,2022-01-19,Standard,40-49,Southwest,1,1
PLY00000081,2024-03-14,Standard,50-59,Northeast,1,1
PLY00000082,2022-01-07,Standard,50-59,Midwest,1,1
PLY00000083,2021-12-16,Gold,50-59,West,0,1
PLY00000084,2025-08-03,Standard,21-29,Southwest,1,1
PLY00000085,2025-10-23,Standard,40-49,Southeast,1,0
PLY00000086,2026-01-19,Gold,21-29,Midwest,1,0
PLY00000087,2022-11-15,Standard,50-59,Midwest,1,1
PLY00000088,2022-01-06,Gold,50-59,Northeast,1,1
PLY00000089,2025-11-07,Silver,21-29,Northeast,0,1
PLY00000090,2022-03-19,Standard,60+,Southeast,1,1
PLY00000091,2023-02-11,Standard,30-39,Southeast,1,1
PLY00000092,2022-02-11,Gold,21-29,Midwest,0,1
PLY00000093,2022-02-10,Standard,40-49,Southeast,1,1
PLY00000094,2023-07-14,Standard,40-49,Southeast,1,1
PLY00000095,2024-12-19,Standard,30-39,Southwest,1,1
PLY00000096,2022-07-21,Standard,40-49,West,1,1
PLY00000097,2026-05-18,Standard,60+,Northeast,0,1
PLY00000098,2023-08-17,Silver,40-49,Southwest,1,1
PLY00000099,2021-11-14,Platinum,50-59,Southwest,1,1
PLY00000100,2022-03-25,Gold,21-29,Northeast,1,1
PLY00000101,2025-02-05,Standard,60+,West,1,1
PLY00000102,2026-05-05,Platinum,60+,Midwest,1,1
PLY00000103,2025-12-24,Standard,21-29,West,0,1
PLY00000104,2024-03-22,Standard,30-39,Southwest,1,1
PLY00000105,2023-10-02,Standard,21-29,Midwest,1,1
PLY00000106,2023-04-09,Standard,30-39,Southwest,1,1
PLY00000107,2024-03-16,Standard,21-29,Midwest,0,1
PLY00000108,2023-07-25,Silver,60+,West,1,1
PLY00000109,2023-10-17,Standard,50-59,Northeast,0,1
PLY00000110,2024-11-24,Standard,60+,West,1,1
PLY00000111,2022-08-24,Standard,21-29,Midwest,0,1
PLY00000112,2024-02-01,Silver,60+,Southeast,0,1
PLY00000113,2025-06-03,Platinum,60+,West,1,1
PLY00000114,2024-03-22,Silver,40-49,Northeast,1,1
PLY00000115,2022-02-24,Standard,40-49,Midwest,1,1
PLY00000116,2021-08-11,Silver,50-59,Northeast,1,1
PLY00000117,2025-06-06,Standard,60+,Southeast,1,1
PLY00000118,2026-04-28,Standard,40-49,Midwest,0,1
PLY00000119,2022-05-20,Standard,21-29,Southeast,1,1
PLY00000120,2022-02-26,Silver,40-49,Southwest,1,1
PLY00000121,2026-02-08,Standard,40-49,Southeast,0,1
PLY00000122,2023-05-07,Standard,40-49,West,1,1
PLY00000123,2025-11-01,Standard,50-59,West,1,1
PLY00000124,2023-10-15,Gold,30-39,Midwest,1,1
PLY00000125,2022-08-29,Standard,50-59,Southeast,1,1
PLY00000126,2024-07-02,Standard,60+,Midwest,1,1
PLY00000127,2022-02-12,Standard,21-29,Southwest,0,1
PLY00000128,2023-08-11,Silver,60+,Southwest,1,1
PLY00000129,2024-09-04,Standard,21-29,Midwest,1,0
PLY00000130,2023-12-16,Standard,40-49,Northeast,1,1
PLY00000131,2022-11-16,Standard,50-59,West,1,1
PLY00000132,2025-04-05,Silver,30-39,Midwest,0,1
PLY00000133,2026-02-25,Silver,60+,West,1,1
PLY00000134,2024-02-08,Standard,30-39,Southeast,1,1
PLY00000135,2026-01-12,Standard,30-39,Northeast,1,1
PLY00000136,2021-08-07,Standard,60+,West,1,1
PLY00000137,2026-04-02,Silver,60+,Midwest,0,1
PLY00000138,2024-01-30,Standard,21-29,Southwest,1,1
PLY00000139,2022-05-31,Standard,21-29,Midwest,1,1
PLY00000140,2022-09-04,Standard,21-29,Midwest,0,1
PLY00000141,2023-10-13,Gold,21-29,West,1,1
PLY00000142,2022-07-07,Silver,21-29,Southwest,0,1
PLY00000143,2022-06-11,Standard,60+,Southwest,1,0
PLY00000144,2026-03-28,Standard,40-49,Northeast,1,1
PLY00000145,2022-11-08,Standard,50-59,Southwest,1,1
PLY00000146,2023-11-07,Standard,40-49,Southwest,1,1
PLY00000147,2023-12-06,Silver,40-49,Northeast,1,1
PLY00000148,2023-04-29,Standard,40-49,West,0,1
PLY00000149,2024-06-13,Silver,30-39,Midwest,1,1
PLY00000150,2023-04-07,Silver,30-39,West,1,1
PLY00000151,2023-10-12,Silver,40-49,Southeast,1,1
PLY00000152,2025-10-31,Silver,60+,Northeast,1,1
PLY00000153,2025-09-08,Standard,40-49,Midwest,1,1
PLY00000154,2023-09-02,Gold,50-59,Southeast,1,1
PLY00000155,2021-12-18,Standard,21-29,West,0,1
PLY00000156,2022-04-26,Gold,21-29,Midwest,0,1
PLY00000157,2025-02-19,Silver,30-39,Southeast,1,1
PLY00000158,2023-11-20,Silver,30-39,Southwest,1,1
PLY00000159,2021-11-27,Silver,50-59,West,1,1
PLY00000160,2021-07-25,Standard,60+,Southeast,1,1
PLY00000161,2024-05-15,Standard,30-39,Midwest,1,1
PLY00000162,2022-08-24,Standard,40-49,Southwest,1,1
PLY00000163,2023-10-05,Standard,30-39,West,1,1
PLY00000164,2022-11-28,Silver,40-49,West,0,1
PLY00000165,2025-04-16,Standard,21-29,Midwest,1,1
PLY00000166,2026-03-24,Standard,60+,Southeast,0,1
PLY00000167,2025-03-03,Gold,50-59,Midwest,0,1
PLY00000168,2026-04-21,Standard,40-49,Southeast,1,1
PLY00000169,2021-08-13,Standard,40-49,Northeast,0,1
PLY00000170,2022-06-26,Silver,30-39,Northeast,1,1
PLY00000171,2022-03-04,Silver,30-39,Southwest,1,1
PLY00000172,2022-10-20,Standard,40-49,Southeast,0,1
PLY00000173,2026-03-05,Silver,60+,Southwest,1,1
PLY00000174,2021-11-02,Standard,21-29,Southeast,1,1
PLY00000175,2024-09-03,Standard,21-29,Southwest,1,1
PLY00000176,2026-03-26,Standard,30-39,Southeast,1,1
PLY00000177,2022-10-17,Standard,60+,Southwest,1,1
PLY00000178,2025-03-10,Standard,40-49,Northeast,0,1
PLY00000179,2022-08-13,Silver,60+,West,1,1
PLY00000180,2021-11-20,Standard,50-59,Midwest,1,1
PLY00000181,2024-02-26,Silver,40-49,Southeast,0,1
PLY00000182,2024-08-19,Silver,40-49,Southeast,1,1
PLY00000183,2021-11-14,Gold,30-39,Southwest,0,1
PLY00000184,2024-07-29,Standard,30-39,Northeast,1,0
PLY00000185,2023-04-27,Standard,30-39,Northeast,0,1
PLY00000186,2023-08-28,Standard,40-49,West,1,1
PLY00000187,2022-05-29,Standard,21-29,Southeast,1,1
PLY00000188,2024-07-16,Standard,40-49,Midwest,1,1
PLY00000189,2026-04-18,Gold,50-59,Southwest,1,1
PLY00000190,2024-12-27,Silver,40-49,West,1,1
PLY00000191,2022-11-06,Standard,50-59,West,0,1
PLY00000192,2023-07-19,Standard,21-29,Northeast,1,1
PLY00000193,2022-11-30,Standard,50-59,Southeast,1,1
PLY00000194,2023-01-15,Standard,40-49,West,0,1
PLY00000195,2025-01-14,Platinum,21-29,Northeast,1,1
PLY00000196,2021-09-29,Standard,30-39,Northeast,1,1
PLY00000197,2023-01-22,Silver,21-29,Southeast,1,1
PLY00000198,2024-05-11,Standard,50-59,West,1,1
PLY00000199,2025-01-13,Standard,40-49,Midwest,1,1
PLY00000200,2023-08-24,Standard,40-49,Southwest,1,1
PLY00000201,2023-10-20,Platinum,21-29,Southeast,1,1
PLY00000202,2022-11-20,Silver,40-49,Midwest,1,1
PLY00000203,2022-06-14,Silver,50-59,Southeast,1,1
PLY00000204,2024-10-14,Standard,50-59,Northeast,0,0
PLY00000205,2021-11-11,Platinum,40-49,Northeast,1,1
PLY00000206,2025-07-15,Standard,30-39,Southeast,0,1
PLY00000207,2023-06-05,Standard,30-39,Southeast,1,1
PLY00000208,2023-03-26,Standard,60+,Midwest,1,0
PLY00000209,2025-06-13,Standard,21-29,Northeast,1,0
PLY00000210,2024-07-04,Silver,60+,Southwest,0,1
PLY00000211,2024-02-17,Standard,40-49,Northeast,1,1
PLY00000212,2023-06-21,Standard,60+,West,1,0
PLY00000213,2023-06-06,Standard,21-29,Northeast,1,1
PLY00000214,2021-09-25,Standard,30-39,Midwest,0,1
PLY00000215,2023-03-06,Standard,21-29,Midwest,1,0
PLY00000216,2024-12-02,Standard,40-49,West,1,1
PLY00000217,2024-04-28,Standard,60+,Southeast,1,1
PLY00000218,2023-11-26,Gold,40-49,West,1,1
PLY00000219,2022-02-14,Standard,60+,Midwest,1,1
PLY00000220,2023-11-28,Standard,21-29,Southwest,0,1
PLY00000221,2024-07-08,Silver,40-49,Southwest,1,1
PLY00000222,2025-11-12,Standard,50-59,Northeast,1,1
PLY00000223,2024-12-06,Standard,50-59,Southeast,1,1
PLY00000224,2026-02-03,Gold,40-49,Midwest,0,1
PLY00000225,2024-05-07,Standard,60+,Northeast,1,1
PLY00000226,2021-10-07,Standard,30-39,Southeast,1,1
PLY00000227,2022-07-07,Standard,60+,Southwest,1,1
PLY00000228,2023-10-03,Standard,40-49,West,0,1
PLY00000229,2023-01-19,Standard,60+,Southwest,1,1
PLY00000230,2023-10-16,Standard,50-59,West,1,1
PLY00000231,2021-11-09,Silver,21-29,Northeast,1,1
PLY00000232,2022-06-15,Gold,50-59,Midwest,1,1
PLY00000233,2025-03-25,Standard,40-49,Midwest,0,1
PLY00000234,2024-06-22,Standard,60+,West,1,1
PLY00000235,2024-03-14,Standard,60+,Southwest,0,1
PLY00000236,2025-03-30,Platinum,60+,Northeast,1,1
PLY00000237,2025-11-18,Standard,40-49,West,0,1
PLY00000238,2022-07-08,Standard,60+,Southwest,1,1
PLY00000239,2024-10-22,Standard,40-49,Southwest,1,1
PLY00000240,2026-06-09,Gold,30-39,Midwest,0,1
PLY00000241,2023-02-24,Standard,60+,Midwest,1,1
PLY00000242,2023-09-13,Standard,50-59,West,1,1
PLY00000243,2021-11-28,Standard,21-29,Southwest,1,1
PLY00000244,2025-03-29,Silver,21-29,West,1,0
PLY00000245,2021-07-19,Silver,60+,West,1,1
PLY00000246,2025-12-15,Standard,60+,West,0,1
PLY00000247,2026-02-10,Gold,30-39,Northeast,1,1
PLY00000248,2023-03-18,Standard,50-59,Midwest,1,1
PLY00000249,2024-08-18,Standard,60+,West,0,1
PLY00000250,2025-03-14,Silver,21-29,Southeast,1,1
PLY00000251,2022-02-16,Platinum,50-59,West,1,0
PLY00000252,2024-05-04,Standard,60+,Midwest,1,1
PLY00000253,2024-03-15,Gold,40-49,West,1,0
PLY00000254,2022-08-05,Standard,40-49,Southeast,0,0
PLY00000255,2024-02-02,Silver,30-39,Southwest,1,1
PLY00000256,2025-11-05,Gold,40-49,Midwest,1,1
PLY00000257,2024-02-29,Standard,50-59,Midwest,0,1
PLY00000258,2025-01-02,Standard,40-49,Northeast,1,1
PLY00000259,2024-04-22,Standard,50-59,Southeast,1,1
PLY00000260,2024-12-15,Gold,40-49,Southeast,1,1
PLY00000261,2024-01-18,Standard,21-29,West,1,1
PLY00000262,2026-04-01,Standard,40-49,Southwest,1,1
PLY00000263,2022-08-13,Standard,60+,Southeast,1,1
PLY00000264,2023-03-02,Gold,50-59,Southeast,0,1
PLY00000265,2025-02-09,Standard,21-29,Northeast,1,1
PLY00000266,2024-10-03,Silver,21-29,Southeast,1,1
PLY00000267,2023-01-05,Gold,21-29,Southwest,0,1
PLY00000268,2026-05-17,Silver,40-49,Northeast,1,1
PLY00000269,2024-02-04,Standard,40-49,Midwest,1,1
PLY00000270,2024-12-26,Standard,30-39,West,1,1
PLY00000271,2026-03-12,Standard,30-39,Southwest,1,1
PLY00000272,2021-07-15,Standard,40-49,Midwest,1,1
PLY00000273,2024-02-13,Standard,50-59,Southwest,1,1
PLY00000274,2023-12-22,Silver,30-39,Southeast,1,1
PLY00000275,2023-04-28,Standard,50-59,Southeast,1,1
PLY00000276,2025-03-10,Standard,60+,West,1,1
PLY00000277,2024-04-10,Silver,21-29,Northeast,1,1
PLY00000278,2025-06-27,Silver,40-49,Northeast,1,0
PLY00000279,2025-04-16,Standard,30-39,Southeast,0,1
PLY00000280,2025-04-17,Standard,60+,Midwest,1,1
PLY00000281,2023-05-08,Standard,60+,Southeast,0,1
PLY00000282,2025-11-18,Silver,21-29,West,1,1
PLY00000283,2025-07-23,Standard,60+,Northeast,1,1
PLY00000284,2022-12-23,Standard,60+,West,1,1
PLY00000285,2022-04-03,Standard,21-29,Southeast,1,1
PLY00000286,2023-12-12,Gold,50-59,Northeast,1,1
PLY00000287,2025-12-01,Standard,21-29,West,1,1
PLY00000288,2024-05-20,Silver,50-59,Midwest,0,1
PLY00000289,2022-04-30,Silver,21-29,Southwest,1,1
PLY00000290,2023-07-13,Platinum,21-29,Southwest,1,1
PLY00000291,2024-03-04,Silver,50-59,Midwest,0,1
PLY00000292,2023-06-11,Gold,50-59,Southwest,1,0
PLY00000293,2023-03-24,Gold,30-39,Midwest,1,0
PLY00000294,2022-10-14,Standard,30-39,Southeast,0,1
PLY00000295,2021-09-27,Platinum,50-59,West,1,1
PLY00000296,2021-12-04,Standard,50-59,Midwest,1,1
PLY00000297,2023-08-13,Gold,21-29,Northeast,0,1
PLY00000298,2025-07-29,Silver,21-29,Southeast,1,1
PLY00000299,2022-02-25,Standard,60+,Northeast,1,1
PLY00000300,2025-05-28,Standard,60+,Southeast,0,1
PLY00000301,2025-01-21,Standard,40-49,Southeast,0,1
PLY00000302,2026-06-06,Standard,60+,Midwest,1,1
PLY00000303,2023-03-10,Platinum,60+,Southeast,1,1
PLY00000304,2024-10-18,Silver,60+,Southeast,1,1
PLY00000305,2025-09-26,Standard,40-49,Southwest,0,1
PLY00000306,2024-12-06,Standard,30-39,Midwest,1,1
PLY00000307,2023-08-11,Standard,30-39,Midwest,0,1
PLY00000308,2022-10-15,Standard,21-29,West,1,1
PLY00000309,2021-07-31,Standard,50-59,Southeast,1,1
PLY00000310,2022-06-10,Standard,50-59,Midwest,1,1
PLY00000311,2025-02-23,Standard,40-49,Southwest,1,1
PLY00000312,2023-05-24,Gold,30-39,West,0,1
PLY00000313,2023-01-11,Standard,40-49,Midwest,0,1
PLY00000314,2025-12-09,Gold,21-29,Southwest,0,1
PLY00000315,2025-06-26,Silver,50-59,Southeast,1,1
PLY00000316,2021-12-17,Standard,60+,Midwest,1,1
PLY00000317,2026-04-10,Gold,50-59,Northeast,0,1
PLY00000318,2023-08-27,Silver,40-49,Southeast,1,1
PLY00000319,2022-07-26,Silver,30-39,Southeast,1,1
PLY00000320,2025-06-01,Silver,50-59,Midwest,1,1
PLY00000321,2022-09-01,Standard,30-39,Southwest,1,0
PLY00000322,2025-06-26,Standard,50-59,Southwest,1,1
PLY00000323,2026-01-19,Standard,30-39,West,1,1
PLY00000324,2026-04-15,Standard,21-29,West,1,1
PLY00000325,2024-03-25,Gold,21-29,Northeast,1,1
PLY00000326,2025-04-19,Standard,30-39,Northeast,1,1
PLY00000327,2025-10-29,Standard,60+,Southwest,1,1
PLY00000328,2025-02-28,Standard,50-59,Northeast,1,1
PLY00000329,2026-03-12,Standard,40-49,Northeast,1,1
PLY00000330,2025-04-29,Standard,30-39,Northeast,0,1
PLY00000331,2022-11-20,Standard,60+,West,1,1
PLY00000332,2025-07-27,Silver,21-29,Midwest,0,1
PLY00000333,2025-05-12,Standard,30-39,Midwest,1,1
PLY00000334,2023-09-27,Silver,21-29,Northeast,1,1
PLY00000335,2023-08-21,Standard,21-29,Southeast,1,1
PLY00000336,2023-11-22,Silver,40-49,West,0,0
PLY00000337,2025-12-19,Gold,21-29,Southeast,1,1
PLY00000338,2025-08-27,Gold,50-59,Midwest,1,1
PLY00000339,2023-07-27,Gold,60+,West,1,1
PLY00000340,2023-11-14,Gold,21-29,Southeast,1,1
PLY00000341,2025-04-10,Silver,50-59,Northeast,1,1
PLY00000342,2022-03-11,Silver,50-59,West,1,1
PLY00000343,2023-12-18,Standard,21-29,West,0,1
PLY00000344,2023-07-12,Standard,30-39,Northeast,1,1
PLY00000345,2023-11-05,Platinum,50-59,Midwest,1,1
PLY00000346,2024-05-22,Platinum,50-59,Southeast,1,0
PLY00000347,2024-04-02,Standard,60+,Southwest,1,1
PLY00000348,2026-02-16,Silver,21-29,Northeast,1,1
PLY00000349,2022-03-21,Silver,30-39,Southwest,1,1
PLY00000350,2022-09-16,Standard,40-49,Southwest,1,1
PLY00000351,2022-10-25,Standard,30-39,Southwest,1,1
PLY00000352,2023-07-02,Standard,21-29,Northeast,1,1
PLY00000353,2024-10-16,Silver,40-49,Southwest,1,1
PLY00000354,2022-10-31,Silver,60+,Southeast,1,1
PLY00000355,2023-05-09,Standard,30-39,Midwest,1,1
PLY00000356,2022-01-29,Standard,50-59,Midwest,1,1
PLY00000357,2025-01-22,Standard,40-49,Southeast,0,1
PLY00000358,2024-12-31,Silver,50-59,Northeast,1,1
PLY00000359,2024-05-07,Standard,60+,Southwest,0,1
PLY00000360,2026-02-23,Standard,60+,Southeast,1,1
PLY00000361,2025-06-30,Silver,50-59,Midwest,1,1
PLY00000362,2025-01-25,Standard,50-59,West,0,1
PLY00000363,2022-01-23,Standard,50-59,Midwest,1,1
PLY00000364,2023-04-17,Silver,60+,Southeast,1,1
PLY00000365,2025-02-08,Platinum,50-59,Southeast,1,1
PLY00000366,2024-11-05,Silver,50-59,Southwest,1,1
PLY00000367,2021-09-12,Standard,30-39,Southwest,0,1
PLY00000368,2026-06-06,Platinum,50-59,West,1,1
PLY00000369,2024-10-07,Gold,50-59,West,1,0
PLY00000370,2025-08-03,Silver,60+,West,1,1
PLY00000371,2021-08-01,Silver,40-49,Southeast,1,1
PLY00000372,2024-07-10,Platinum,50-59,Midwest,0,1
PLY00000373,2024-01-27,Standard,40-49,Southeast,1,1
PLY00000374,2024-11-06,Silver,60+,Southeast,1,1
PLY00000375,2025-02-04,Silver,60+,West,1,0
PLY00000376,2026-02-10,Standard,40-49,Southwest,0,1
PLY00000377,2026-03-06,Gold,30-39,Midwest,1,1
PLY00000378,2023-05-30,Standard,50-59,Midwest,1,1
PLY00000379,2025-09-07,Silver,40-49,Northeast,1,1
PLY00000380,2023-05-26,Standard,40-49,Northeast,1,1
PLY00000381,2023-11-08,Platinum,30-39,West,1,1
PLY00000382,2025-03-29,Silver,50-59,Southeast,0,1
PLY00000383,2025-08-30,Standard,50-59,Southwest,1,1
PLY00000384,2021-10-12,Standard,60+,Southwest,1,1
PLY00000385,2024-11-03,Standard,21-29,West,1,1
PLY00000386,2024-05-23,Standard,40-49,Southeast,1,1
PLY00000387,2024-12-21,Gold,60+,Midwest,1,1
PLY00000388,2022-12-08,Silver,40-49,Midwest,0,1
PLY00000389,2025-07-05,Gold,40-49,West,1,1
PLY00000390,2022-08-14,Standard,30-39,Midwest,1,1
PLY00000391,2026-01-28,Standard,50-59,Southwest,1,1
PLY00000392,2021-10-05,Standard,50-59,West,1,1
PLY00000393,2024-11-19,Platinum,60+,Southeast,1,1
PLY00000394,2026-05-02,Standard,50-59,West,1,1
PLY00000395,2021-10-06,Standard,30-39,Southeast,0,0
PLY00000396,2022-03-31,Standard,50-59,Southwest,1,1
PLY00000397,2025-03-06,Gold,50-59,Southeast,1,1
PLY00000398,2022-09-08,Silver,40-49,Northeast,1,1
PLY00000399,2025-06-17,Standard,50-59,West,0,1
PLY00000400,2023-01-29,Standard,21-29,West,1,1
PLY00000401,2021-12-17,Gold,40-49,West,0,1
PLY00000402,2023-09-30,Silver,60+,Southeast,0,1
PLY00000403,2024-10-03,Gold,30-39,Midwest,0,1
PLY00000404,2024-04-26,Standard,21-29,Southwest,0,1
PLY00000405,2023-05-02,Gold,30-39,West,1,1
PLY00000406,2025-05-26,Silver,50-59,Southeast,1,1
PLY00000407,2024-04-24,Gold,21-29,West,1,1
PLY00000408,2024-05-27,Standard,40-49,Midwest,1,1
PLY00000409,2024-10-03,Gold,21-29,Southeast,0,1
PLY00000410,2023-11-25,Gold,40-49,Southeast,1,1
PLY00000411,2025-02-12,Standard,40-49,Southeast,0,1
PLY00000412,2023-09-05,Standard,60+,Midwest,1,1
PLY00000413,2022-03-25,Standard,21-29,Southwest,1,1
PLY00000414,2025-07-14,Gold,40-49,Southwest,0,1
PLY00000415,2021-09-12,Standard,21-29,Southwest,1,1
PLY00000416,2026-02-13,Gold,60+,Southwest,1,1
PLY00000417,2021-12-22,Standard,40-49,Midwest,0,1
PLY00000418,2024-07-05,Silver,60+,Southwest,0,1
PLY00000419,2023-06-10,Silver,21-29,Northeast,1,1
PLY00000420,2022-02-12,Standard,30-39,Southwest,1,0
PLY00000421,2021-11-16,Standard,30-39,Midwest,1,1
PLY00000422,2021-10-18,Standard,40-49,Midwest,1,1
PLY00000423,2023-08-21,Silver,21-29,Southwest,1,1
PLY00000424,2023-03-25,Silver,50-59,Northeast,1,1
PLY00000425,2021-09-15,Standard,30-39,West,1,1
PLY00000426,2022-10-30,Standard,40-49,Northeast,0,1
PLY00000427,2023-07-25,Standard,21-29,Southeast,1,1
PLY00000428,2022-08-10,Standard,40-49,Midwest,0,1
PLY00000429,2025-07-24,Silver,30-39,Southeast,1,1
PLY00000430,2022-07-04,Silver,30-39,Southwest,1,1
PLY00000431,2026-05-01,Silver,50-59,West,1,1
PLY00000432,2023-05-22,Standard,21-29,Southeast,0,1
PLY00000433,2025-06-27,Standard,50-59,Midwest,0,1
PLY00000434,2023-09-18,Silver,30-39,West,1,1
PLY00000435,2024-09-02,Standard,21-29,Midwest,1,1
PLY00000436,2022-12-17,Standard,50-59,Midwest,1,1
PLY00000437,2022-07-04,Silver,30-39,Southwest,1,1
PLY00000438,2022-12-04,Silver,21-29,West,0,1
PLY00000439,2024-03-06,Standard,40-49,Southeast,1,1
PLY00000440,2022-06-14,Standard,60+,Southeast,0,0
PLY00000441,2021-10-01,Silver,21-29,West,1,1
PLY00000442,2024-03-09,Standard,21-29,Southwest,1,1
PLY00000443,2026-06-06,Standard,50-59,Southwest,1,1
PLY00000444,2024-09-22,Standard,60+,Southeast,1,1
PLY00000445,2024-11-27,Standard,30-39,Southeast,1,1
PLY00000446,2023-03-22,Silver,21-29,Midwest,1,1
PLY00000447,2022-03-07,Gold,21-29,Southeast,1,1
PLY00000448,2023-08-07,Standard,60+,Northeast,1,1
PLY00000449,2022-05-26,Silver,21-29,Northeast,1,1
PLY00000450,2024-02-05,Standard,40-49,West,1,1
PLY00000451,2022-07-25,Standard,40-49,Southeast,0,1
PLY00000452,2026-05-07,Silver,21-29,Northeast,1,1
PLY00000453,2021-11-18,Standard,40-49,West,1,1
PLY00000454,2024-06-26,Standard,21-29,Southwest,0,1
PLY00000455,2026-01-24,Standard,21-29,West,1,1
PLY00000456,2025-03-05,Silver,21-29,Northeast,0,1
PLY00000457,2024-09-07,Standard,40-49,Southwest,0,1
PLY00000458,2022-02-13,Platinum,21-29,West,0,1
PLY00000459,2025-11-01,Silver,30-39,Midwest,1,1
