player_id,loyalty_tier,days_since_last_session,total_historical_sessions,player_net_revenue,churn_probability,risk_level,recommended_action,expected_revenue_at_risk,retention_priority_score,priority_rank
PLY00004011,Silver,201,6,135.81,0.9979904004086833,Critical,Immediate retention outreach,135.54,210.18,39
PLY00001763,Platinum,140,8,150.97,0.9986128804893932,Critical,Immediate retention outreach,150.76,208.59,40
PLY00003847,Gold,97,5,167.65,0.9788766462795911,Critical,Immediate retention outreach,164.11,207.72,41
PLY00004602,Platinum,95,3,168.2,0.9744999790593332,Critical,Immediate retention outreach,163.91,206.57,42
PLY00004210,Gold,146,5,145.61,0.9862992106311688,Critical,Immediate retention outreach,143.62,201.07,43
PLY00001908,Silver,139,7,145.45,0.9955528928410404,Critical,Immediate retention outreach,144.8,199.94,44
PLY00004036,Gold,55,6,376.54,0.4595747156795426,Medium,Monitor engagement,173.05,199.13,45
PLY00001749,Platinum,153,6,140.94,0.9951701123815516,Critical,Immediate retention outreach,140.26,199.05,46
PLY00001645,Platinum,173,7,133.51,0.998349270390479,Critical,Immediate retention outreach,133.29,196.47,47
PLY00004117,Gold,82,8,161.36,0.9906345955247436,Critical,Immediate retention outreach,159.85,195.76,48
PLY00002194,Gold,95,9,155.64,0.9956490369352888,Critical,Immediate retention outreach,154.96,195.29,49
PLY00002251,Platinum,65,7,213.67,0.7736695482337174,High,Targeted loyalty offer,165.31,194.75,50
PLY00002744,Silver,163,6,135.77,0.9902084885697376,Critical,Immediate retention outreach,134.44,194.48,51
PLY00001550,Silver,54,9,172.02,0.966110333829332,Critical,Immediate retention outreach,166.19,190.78,52
PLY00004606,Platinum,152,4,135.29,0.9952143130952484,Critical,Immediate retention outreach,134.64,190.71,53
PLY00000183,Gold,154,3,138.91,0.955143758642709,Critical,Immediate retention outreach,132.68,188.66,54
PLY00000607,Gold,137,5,140.21,0.9779750740692776,Critical,Immediate retention outreach,137.12,188.59,55
PLY00001915,Silver,132,8,138.05,0.993292487525268,Critical,Immediate retention outreach,137.12,186.71,56
PLY00000414,Gold,205,4,122.42,0.969035480069975,Critical,Immediate retention outreach,118.63,185.26,57
PLY00002343,Standard,192,4,120.14,0.996800388174506,Critical,Immediate retention outreach,119.76,182.76,58
PLY00003047,Silver,120,7,139.62,0.9710582108366916,Critical,Immediate retention outreach,135.58,180.15,59
PLY00002771,Gold,161,7,124.44,0.9968141677987457,Critical,Immediate retention outreach,124.04,178.75,60
PLY00004134,Standard,132,7,131.27,0.9978273931416696,Critical,Immediate retention outreach,130.98,178.35,61
PLY00000195,Platinum,168,4,121.7,0.9978488482943592,Critical,Immediate retention outreach,121.44,177.34,62
PLY00003239,Silver,170,5,122.56,0.9839851054781952,Critical,Immediate retention outreach,120.6,176.77,63
PLY00004804,Platinum,147,5,125.4,0.9987221674577048,Critical,Immediate retention outreach,125.24,175.68,64
PLY00000167,Gold,126,7,128.15,0.9947915788922196,Critical,Immediate retention outreach,127.48,171.49,65
PLY00003611,Gold,135,4,126.43,0.983239766330416,Critical,Immediate retention outreach,124.31,170.29,66
PLY00000890,Gold,119,5,134.26,0.955654473100232,Critical,Immediate retention outreach,128.31,170.14,67
PLY00001514,Platinum,93,5,136.47,0.991593070444524,Critical,Immediate retention outreach,135.32,169.8,68
PLY00003147,Gold,225,3,105.43,0.9940431052756826,Critical,Immediate retention outreach,104.8,169.4,69
PLY00002935,Silver,70,7,156.14,0.9091048962034052,Critical,Immediate retention outreach,141.95,169.17,70
PLY00001569,Gold,183,5,112.54,0.9949193137388552,Critical,Immediate retention outreach,111.97,168.11,71
PLY00002469,Platinum,66,5,172.1,0.8203951190715666,Critical,Immediate retention outreach,141.19,166.72,72
PLY00004887,Silver,196,3,113.33,0.9523754470804204,Critical,Immediate retention outreach,107.93,165.89,73
PLY00002511,Gold,195,7,107.48,0.9959970040063036,Critical,Immediate retention outreach,107.05,164.24,74
PLY00002241,Silver,198,2,107.6,0.9808864343233044,Critical,Immediate retention outreach,105.54,162.79,75
PLY00003420,Platinum,192,4,106.29,0.9956742670273392,Critical,Immediate retention outreach,105.83,161.5,76
PLY00004338,Platinum,213,7,99.89,0.9991453417142402,Critical,Immediate retention outreach,99.8,158.04,77
PLY00001914,Gold,175,4,106.95,0.9890330781956612,Critical,Immediate retention outreach,105.78,156.5,78
PLY00001727,Standard,157,7,109.52,0.997202031915284,Critical,Immediate retention outreach,109.21,156.19,79
PLY00003824,Standard,96,4,132.78,0.927097524007636,Critical,Immediate retention outreach,123.1,155.48,80
PLY00003692,Silver,173,3,108.14,0.9753578590278308,Critical,Immediate retention outreach,105.48,155.47,81
PLY00004915,Platinum,156,6,109.17,0.9956074380246652,Critical,Immediate retention outreach,108.69,155.14,82
PLY00003126,Silver,42,9,138.89,0.9831462493731488,Critical,Immediate retention outreach,136.55,152.26,83
PLY00002503,Gold,184,5,102.12,0.9911321025526396,Critical,Immediate retention outreach,101.21,152.23,84
PLY00000722,Gold,159,5,106.98,0.9898579530921378,Critical,Immediate retention outreach,105.9,152.03,85
PLY00001297,Standard,226,3,93.6,0.9964611066854004,Critical,Immediate retention outreach,93.27,151.02,86
PLY00003646,Platinum,201,4,97.52,0.9961991537523992,Critical,Immediate retention outreach,97.15,150.65,87
PLY00001802,Platinum,98,4,131.2,0.8948830671743729,Critical,Immediate retention outreach,117.41,148.93,88
PLY00004623,Silver,231,4,91.23,0.9978862309861956,Critical,Immediate retention outreach,91.04,148.66,89
PLY00003744,Standard,111,5,115.52,0.986558749393464,Critical,Immediate retention outreach,113.97,148.63,90
PLY00002380,Standard,218,6,92.95,0.9988519538054912,Critical,Immediate retention outreach,92.84,148.29,91
PLY00000377,Gold,86,7,127.75,0.9366553245655695,Critical,Immediate retention outreach,119.66,147.85,92
PLY00004026,Gold,128,3,113.67,0.9607320832183364,Critical,Immediate retention outreach,109.21,147.51,93
PLY00001980,Standard,174,8,99.96,0.9979426747295024,Critical,Immediate retention outreach,99.75,147.3,94
PLY00004626,Standard,202,3,95.47,0.9884508611237932,Critical,Immediate retention outreach,94.37,146.6,95
PLY00002806,Gold,222,3,91.31,0.9954096099044846,Critical,Immediate retention outreach,90.89,146.17,96
PLY00000587,Gold,104,4,115.16,0.986467902671582,Critical,Immediate retention outreach,113.6,145.97,97
PLY00002265,Gold,146,8,103.04,0.9964446460070058,Critical,Immediate retention outreach,102.67,143.74,98
PLY00004182,Gold,102,5,112.43,0.9898302991304294,Critical,Immediate retention outreach,111.29,142.39,99
PLY00001867,Gold,43,4,186.99,0.677334255062491,High,Targeted loyalty offer,126.65,141.57,100
PLY00004369,Platinum,88,5,118.65,0.9543278158566174,Critical,Immediate retention outreach,113.23,140.53,101
PLY00002242,Gold,127,6,103.26,0.9957483219749146,Critical,Immediate retention outreach,102.82,138.6,102
PLY00004004,Silver,221,6,86.44,0.99754050398367,Critical,Immediate retention outreach,86.23,138.44,103
PLY00002274,Silver,195,3,90.93,0.9911215501996972,Critical,Immediate retention outreach,90.12,138.27,104
PLY00001883,Standard,176,4,95.12,0.9765608948844854,Critical,Immediate retention outreach,92.89,137.68,105
PLY00004214,Platinum,245,4,82.08,0.9996015897606072,Critical,Immediate retention outreach,82.05,137.12,106
PLY00003262,Silver,144,6,98.32,0.9971026407731992,Critical,Immediate retention outreach,98.04,136.72,107
PLY00000177,Standard,96,6,114.15,0.9473458931253104,Critical,Immediate retention outreach,108.14,136.58,108
PLY00002487,Silver,87,4,120.28,0.8998048870253634,Critical,Immediate retention outreach,108.23,134.03,109
PLY00003022,Standard,177,4,90.26,0.9940720715003952,Critical,Immediate retention outreach,89.72,133.23,110
PLY00004285,Platinum,212,5,84.18,0.9977980826438708,Critical,Immediate retention outreach,83.99,132.77,111
PLY00003547,Gold,95,5,105.83,0.9876550746450028,Critical,Immediate retention outreach,104.52,131.72,112
PLY00003222,Gold,169,4,90.24,0.9961460968048228,Critical,Immediate retention outreach,89.89,131.51,113
PLY00000748,Silver,166,4,90.93,0.9924136511448672,Critical,Immediate retention outreach,90.24,131.28,114
PLY00001148,Silver,219,4,80.97,0.9927089617050936,Critical,Immediate retention outreach,80.38,128.61,115
PLY00003790,Standard,154,5,96.38,0.937017245277912,Critical,Immediate retention outreach,90.31,128.41,116
PLY00003106,Gold,129,4,95.02,0.9922555345610048,Critical,Immediate retention outreach,94.28,127.6,117
PLY00004457,Silver,173,6,86.68,0.9955632725407352,Critical,Immediate retention outreach,86.3,127.2,118
PLY00001893,Standard,153,5,90.32,0.9874629917424104,Critical,Immediate retention outreach,89.19,126.58,119
PLY00003447,Platinum,157,3,89.04,0.9932796118831828,Critical,Immediate retention outreach,88.44,126.48,120
PLY00002580,Standard,178,5,85.33,0.9936175424537916,Critical,Immediate retention outreach,84.79,126.14,121
PLY00002830,Silver,103,6,100.93,0.972008492692734,Critical,Immediate retention outreach,98.1,125.78,122
PLY00003326,Gold,179,3,100.52,0.8380511613853338,Critical,Immediate retention outreach,84.24,125.55,123
PLY00000648,Standard,165,4,87.23,0.9908786232564826,Critical,Immediate retention outreach,86.43,125.5,124
PLY00000684,Silver,198,4,82.73,0.9832341395956528,Critical,Immediate retention outreach,81.34,125.46,125
PLY00000314,Gold,217,3,80.43,0.977270565004834,Critical,Immediate retention outreach,78.6,125.33,126
PLY00001239,Platinum,181,3,84.21,0.9928468716607212,Critical,Immediate retention outreach,83.61,125.07,127
PLY00003411,Gold,110,6,96.09,0.9942999229939232,Critical,Immediate retention outreach,95.54,124.33,128
PLY00003760,Standard,156,6,87.53,0.9934229308638562,Critical,Immediate retention outreach,86.95,124.11,129
PLY00001387,Gold,86,7,101.48,0.9824394598959768,Critical,Immediate retention outreach,99.7,123.19,130
PLY00001260,Standard,156,3,88.24,0.97501611099955,Critical,Immediate retention outreach,86.04,122.81,131
PLY00001048,Platinum,211,3,78.56,0.988973462314866,Critical,Immediate retention outreach,77.69,122.6,132
PLY00002826,Silver,160,7,85.5,0.9967294272667696,Critical,Immediate retention outreach,85.22,122.58,133
PLY00003069,Standard,66,4,162.69,0.636033395929933,High,Targeted loyalty offer,103.48,122.19,134
PLY00003869,Gold,200,5,78.49,0.9960652813477644,Critical,Immediate retention outreach,78.18,121.02,135
PLY00001091,Gold,251,3,71.78,0.998946612952746,Critical,Immediate retention outreach,71.7,121.01,136
PLY00004791,Gold,87,3,158.48,0.6157156515304503,High,Targeted loyalty offer,97.58,120.84,137
PLY00001159,Silver,278,3,67.84,0.9991715628398812,Critical,Immediate retention outreach,67.78,119.4,138
PLY00001501,Standard,264,3,68.61,0.9988763341491312,Critical,Immediate retention outreach,68.53,118.1,139
PLY00000694,Gold,242,3,70.63,0.9983150683553228,Critical,Immediate retention outreach,70.51,117.26,140
PLY00004339,Standard,198,3,76.17,0.9956303534032936,Critical,Immediate retention outreach,75.84,116.98,141
PLY00000878,Silver,220,3,72.37,0.9952117629210506,Critical,Immediate retention outreach,72.02,115.43,142
PLY00003055,Standard,191,4,76.09,0.9952083963025709,Critical,Immediate retention outreach,75.73,115.36,143
PLY00004611,Gold,209,5,73.23,0.9990806424723248,Critical,Immediate retention outreach,73.16,115.05,144
PLY00001947,Silver,172,5,78.73,0.9919062427725366,Critical,Immediate retention outreach,78.09,114.89,145
PLY00003934,Silver,152,3,91.39,0.880757884601824,Critical,Immediate retention outreach,80.49,114.01,146
PLY00003436,Platinum,195,4,74.28,0.9980911818680268,Critical,Immediate retention outreach,74.14,113.75,147
PLY00002302,Silver,153,4,81.04,0.9855711876853084,Critical,Immediate retention outreach,79.87,113.35,148
PLY00003997,Platinum,91,5,91.69,0.9870648583806912,Critical,Immediate retention outreach,90.5,113.06,149
PLY00003553,Gold,92,3,95.43,0.9432809377797235,Critical,Immediate retention outreach,90.02,112.71,150
PLY00003720,Silver,194,4,74.37,0.9889599029652356,Critical,Immediate retention outreach,73.55,112.64,151
PLY00003119,Standard,92,7,90.81,0.9899627200165988,Critical,Immediate retention outreach,89.9,112.56,152
PLY00002396,Silver,126,2,108.97,0.7665742828845048,High,Targeted loyalty offer,83.53,112.37,153
PLY00000247,Gold,213,4,71.17,0.996892854058506,Critical,Immediate retention outreach,70.95,112.35,154
PLY00000940,Standard,157,4,80.24,0.9767912931143996,Critical,Immediate retention outreach,78.38,112.09,155
PLY00000689,Standard,183,3,75.15,0.9892582640315992,Critical,Immediate retention outreach,74.34,111.61,156
PLY00001795,Standard,85,5,145.38,0.6205262708814347,High,Targeted loyalty offer,90.21,111.22,157
PLY00002300,Standard,152,4,82.5,0.949752968679659,Critical,Immediate retention outreach,78.35,110.98,158
PLY00000831,Silver,175,3,75.44,0.9938333092412146,Critical,Immediate retention outreach,74.97,110.91,159
PLY00002430,Standard,179,6,74.61,0.9965149663309292,Critical,Immediate retention outreach,74.35,110.81,160
PLY00000979,Gold,246,4,66.09,0.999239439468555,Critical,Immediate retention outreach,66.04,110.55,161
PLY00002722,Gold,94,7,92.44,0.9508419767144892,Critical,Immediate retention outreach,87.9,110.54,162
PLY00002760,Gold,113,6,85.02,0.9913761996812576,Critical,Immediate retention outreach,84.29,110.39,163
PLY00000255,Silver,144,5,79.52,0.9941264347725974,Critical,Immediate retention outreach,79.05,110.24,164
PLY00001028,Gold,128,3,84.04,0.9707678991003098,Critical,Immediate retention outreach,81.58,110.19,165
PLY00002864,Standard,130,4,82.36,0.983741161747914,Critical,Immediate retention outreach,81.02,109.88,166
PLY00003603,Silver,150,5,78.77,0.986506912089167,Critical,Immediate retention outreach,77.71,109.65,167
PLY00004503,Silver,254,2,64.7,0.9976887911676288,Critical,Immediate retention outreach,64.55,109.47,168
PLY00000315,Silver,119,3,84.25,0.9775174437390536,Critical,Immediate retention outreach,82.36,109.21,169
PLY00004213,Silver,259,2,63.88,0.998533482092423,Critical,Immediate retention outreach,63.79,109.05,170
PLY00002413,Standard,182,7,73.35,0.9915042792749638,Critical,Immediate retention outreach,72.73,109.0,171
PLY00004020,Silver,165,4,75.39,0.9947169290388757,Critical,Immediate retention outreach,74.99,108.89,172
PLY00004226,Gold,169,5,74.59,0.9970837376602404,Critical,Immediate retention outreach,74.37,108.8,173
PLY00003848,Gold,203,4,70.09,0.9936717731645548,Critical,Immediate retention outreach,69.65,108.39,174
PLY00002884,Standard,235,3,66.81,0.9837697358146388,Critical,Immediate retention outreach,65.73,108.05,175
PLY00004127,Gold,207,5,68.74,0.9960836533291284,Critical,Immediate retention outreach,68.47,107.3,176
PLY00003679,Standard,297,1,59.33,0.9969107963237788,Critical,Immediate retention outreach,59.15,107.28,177
PLY00002921,Silver,41,8,102.03,0.9400209740373412,Critical,Immediate retention outreach,95.91,106.68,178
PLY00004204,Standard,100,7,88.13,0.9452502488224934,Critical,Immediate retention outreach,83.3,106.12,179
PLY00002288,Silver,68,4,151.51,0.5884050635326175,Medium,Monitor engagement,89.15,105.76,180
PLY00004336,Gold,191,3,69.75,0.9951873736111732,Critical,Immediate retention outreach,69.41,105.73,181
PLY00004072,Gold,192,3,70.18,0.984487078095416,Critical,Immediate retention outreach,69.09,105.43,182
PLY00000429,Silver,136,4,98.92,0.7764707966284399,High,Targeted loyalty offer,76.81,105.43,182
PLY00002137,Gold,214,3,66.35,0.9983283672954816,Critical,Immediate retention outreach,66.24,105.08,183
PLY00002012,Standard,88,11,85.07,0.9898131364624372,Critical,Immediate retention outreach,84.2,104.5,184
PLY00000068,Silver,132,8,76.66,0.9963665430593768,Critical,Immediate retention outreach,76.38,104.0,185
PLY00002353,Gold,156,3,78.6,0.926359875112339,Critical,Immediate retention outreach,72.81,103.93,186
PLY00001465,Standard,221,7,64.74,0.9993818914490222,Critical,Immediate retention outreach,64.7,103.87,187
PLY00001822,Silver,177,5,69.96,0.9974928294291184,Critical,Immediate retention outreach,69.78,103.62,188
PLY00001834,Platinum,158,5,72.43,0.9969222620938164,Critical,Immediate retention outreach,72.21,103.47,189
PLY00002040,Standard,234,5,63.11,0.9959098668188104,Critical,Immediate retention outreach,62.85,103.14,190
PLY00001511,Gold,250,2,61.11,0.9984747174991712,Critical,Immediate retention outreach,61.02,102.81,191
PLY00000222,Standard,175,4,69.87,0.9944386101386428,Critical,Immediate retention outreach,69.48,102.79,192
PLY00001785,Standard,185,5,67.89,0.9949626188804976,Critical,Immediate retention outreach,67.55,101.79,193
PLY00000952,Gold,148,3,73.59,0.9829808974263884,Critical,Immediate retention outreach,72.34,101.67,194
PLY00002938,Gold,79,7,86.82,0.96206807119206,Critical,Immediate retention outreach,83.53,101.61,195
PLY00001374,Silver,101,3,218.81,0.3635393672361775,Medium,Monitor engagement,79.55,101.56,196
PLY00003774,Gold,145,6,72.23,0.9970551392519214,Critical,Immediate retention outreach,72.02,100.63,197
PLY00000112,Silver,152,5,71.6,0.9878276724377576,Critical,Immediate retention outreach,70.73,100.18,198
PLY00004216,Gold,246,3,59.85,0.999176835369932,Critical,Immediate retention outreach,59.8,100.1,199
PLY00002446,Standard,162,6,69.62,0.9941035214556616,Critical,Immediate retention outreach,69.21,99.93,200
PLY00003203,Platinum,157,4,70.06,0.9955959083507476,Critical,Immediate retention outreach,69.75,99.75,201
PLY00001029,Platinum,135,5,72.94,0.9951143004998692,Critical,Immediate retention outreach,72.58,99.42,202
PLY00002949,Silver,160,3,69.79,0.9890964197442444,Critical,Immediate retention outreach,69.03,99.29,203
PLY00003535,Silver,166,6,68.17,0.9969176383928317,Critical,Immediate retention outreach,67.96,98.87,204
PLY00003049,Platinum,80,5,85.12,0.952285444006361,Critical,Immediate retention outreach,81.06,98.83,205
PLY00003140,Gold,174,2,70.12,0.9529986123378216,Critical,Immediate retention outreach,66.82,98.67,206
PLY00002027,Gold,233,3,60.28,0.997874975583812,Critical,Immediate retention outreach,60.15,98.55,207
PLY00002041,Standard,180,4,67.31,0.9802129382489996,Critical,Immediate retention outreach,65.98,98.52,208
PLY00003489,Gold,101,4,78.04,0.9880912990294975,Critical,Immediate retention outreach,77.11,98.45,209
PLY00000512,Silver,195,3,64.51,0.9864258456078896,Critical,Immediate retention outreach,63.63,97.62,210
PLY00000562,Gold,163,4,78.86,0.8521537314598182,Critical,Immediate retention outreach,67.2,97.21,211
PLY00001004,Silver,111,5,74.98,0.9937760633208051,Critical,Immediate retention outreach,74.51,97.17,212
PLY00000126,Standard,139,7,72.23,0.9721379758914672,Critical,Immediate retention outreach,70.22,96.96,213
PLY00001243,Standard,201,5,62.59,0.9976675692666492,Critical,Immediate retention outreach,62.44,96.82,214
PLY00000250,Silver,114,4,75.08,0.9806592632432776,Critical,Immediate retention outreach,73.63,96.63,215
PLY00004314,Silver,118,4,80.14,0.9086530438411934,Critical,Immediate retention outreach,72.82,96.36,216
PLY00002807,Silver,142,6,69.62,0.9958793099480427,Critical,Immediate retention outreach,69.33,96.3,217
PLY00004494,Gold,135,8,70.44,0.9974194279803112,Critical,Immediate retention outreach,70.26,96.25,218
PLY00000288,Silver,118,3,82.58,0.8807749627786254,Critical,Immediate retention outreach,72.73,96.24,219
PLY00004340,Gold,55,4,104.24,0.7982201926230199,High,Targeted loyalty offer,83.21,95.75,220
PLY00002317,Gold,86,4,152.58,0.506922877581516,Medium,Monitor engagement,77.35,95.57,221
PLY00004523,Standard,133,6,70.76,0.9895440876499138,Critical,Immediate retention outreach,70.02,95.53,222
PLY00003315,Silver,179,4,64.34,0.9957463273621642,Critical,Immediate retention outreach,64.07,95.49,223
PLY00001339,Silver,177,4,64.45,0.9946445407082852,Critical,Immediate retention outreach,64.1,95.18,224
PLY00003279,Gold,194,3,62.43,0.9926238262107756,Critical,Immediate retention outreach,61.97,94.91,225
PLY00002946,Standard,102,5,76.76,0.9590682789787816,Critical,Immediate retention outreach,73.62,94.19,226
PLY00002386,Silver,134,5,70.28,0.9781692330932856,Critical,Immediate retention outreach,68.75,93.99,227
PLY00002601,Standard,94,4,77.36,0.9644210555192592,Critical,Immediate retention outreach,74.61,93.82,228
PLY00004811,Standard,181,5,63.07,0.9928164753006292,Critical,Immediate retention outreach,62.62,93.67,229
PLY00001312,Silver,161,5,65.69,0.9895126727635274,Critical,Immediate retention outreach,65.0,93.67,229
PLY00001190,Silver,170,4,63.58,0.9938367824749892,Critical,Immediate retention outreach,63.19,92.62,230
PLY00003245,Gold,174,3,63.25,0.9870278629683756,Critical,Immediate retention outreach,62.43,92.19,231
PLY00002092,Standard,207,6,58.9,0.9985412764261165,Critical,Immediate retention outreach,58.81,92.16,232
PLY00001967,Silver,215,2,58.3,0.990236835649602,Critical,Immediate retention outreach,57.73,91.74,233
PLY00002474,Silver,178,4,61.34,0.994981358897028,Critical,Immediate retention outreach,61.03,90.79,234
PLY00004094,Platinum,215,5,57.17,0.9978669995742134,Critical,Immediate retention outreach,57.05,90.65,235
PLY00003928,Standard,206,2,59.59,0.9660373977730744,Critical,Immediate retention outreach,57.57,90.06,236
PLY00003402,Silver,144,2,74.94,0.8608904036877002,Critical,Immediate retention outreach,64.52,89.97,237
PLY00002332,Silver,39,7,84.43,0.949098144906432,Critical,Immediate retention outreach,80.13,88.69,238
PLY00000875,Silver,293,1,49.51,0.9932967325470736,Critical,Immediate retention outreach,49.18,88.66,239
PLY00000496,Standard,195,6,57.75,0.9980623306750508,Critical,Immediate retention outreach,57.64,88.43,240
PLY00003963,Silver,99,3,72.72,0.9542307822072668,Critical,Immediate retention outreach,69.39,88.21,241
PLY00002584,Platinum,130,4,66.52,0.9766640237128084,Critical,Immediate retention outreach,64.97,88.11,242
PLY00002354,Standard,97,5,71.39,0.9743756260903372,Critical,Immediate retention outreach,69.56,88.05,243
PLY00004225,Gold,123,6,66.73,0.9863341680664623,Critical,Immediate retention outreach,65.82,88.0,244
PLY00002404,Gold,92,3,77.1,0.9105834843960277,Critical,Immediate retention outreach,70.21,87.91,245
PLY00000009,Silver,84,5,75.14,0.9474925692977048,Critical,Immediate retention outreach,71.19,87.57,246
PLY00000492,Gold,190,4,58.62,0.9778929711082812,Critical,Immediate retention outreach,57.32,87.16,247
PLY00003445,Standard,148,5,62.74,0.985075283902794,Critical,Immediate retention outreach,61.8,86.86,248
PLY00001581,Silver,108,4,69.73,0.9566748483959604,Critical,Immediate retention outreach,66.71,86.45,249
PLY00001144,Standard,180,4,59.27,0.974907158102294,Critical,Immediate retention outreach,57.78,86.27,250
PLY00004299,Silver,94,4,71.8,0.9495840188715534,Critical,Immediate retention outreach,68.18,85.74,251
PLY00002741,Standard,64,4,302.66,0.2409883096293234,Low,No immediate action,72.94,85.73,252
PLY00002038,Standard,162,4,59.67,0.9950378293956126,Critical,Immediate retention outreach,59.37,85.72,253
PLY00004829,Standard,163,4,60.9,0.9712925204923136,Critical,Immediate retention outreach,59.15,85.56,254
PLY00000841,Silver,150,4,79.46,0.7584520746892931,High,Targeted loyalty offer,60.27,85.04,255
PLY00004982,Silver,163,6,59.21,0.99213405162005,Critical,Immediate retention outreach,58.74,84.97,256
PLY00004529,Standard,113,6,65.94,0.9835308433686756,Critical,Immediate retention outreach,64.85,84.93,257
PLY00002917,Gold,235,4,51.56,0.9990591462372402,Critical,Immediate retention outreach,51.51,84.67,258
PLY00002371,Standard,81,7,72.67,0.953356162512368,Critical,Immediate retention outreach,69.28,84.65,259
PLY00004035,Standard,190,2,58.68,0.9462232842448156,Critical,Immediate retention outreach,55.52,84.42,260
PLY00000626,Platinum,190,2,56.34,0.9781426426045132,Critical,Immediate retention outreach,55.11,83.8,261
PLY00004262,Silver,212,4,54.7,0.9664817250952048,Critical,Immediate retention outreach,52.87,83.58,262
PLY00003897,Standard,206,4,53.61,0.9960176017542428,Critical,Immediate retention outreach,53.4,83.54,263
PLY00000850,Silver,227,4,51.49,0.997615719047797,Critical,Immediate retention outreach,51.37,83.32,264
