player_id,loyalty_tier,age_band,home_region,marketing_opt_in,registered_active_flag,observation_cutoff_date,dataset_end_date,first_session_date,latest_historical_session_date,days_since_last_session,observed_player_lifetime_days,total_historical_sessions,sessions_last_30_days,sessions_last_90_days,locations_visited,machines_played,total_session_minutes,average_session_minutes,total_rounds,total_wager,total_payout,player_net_revenue,average_wager_per_session,wager_last_30_days,wager_last_90_days,revenue_last_30_days,revenue_last_90_days,sessions_per_observed_day,future_session_count,churn_flag
PLY00000022,Gold,21-29,Northeast,1,1,2025-11-01,2025-12-31,2025-02-19,2025-05-15,170,256,7,0,0,5,7,306,43.714285,529,2333.81,2089.82,243.99,333.401428,0.0,0.0,0.0,0.0,0.0273,0,1
PLY00000023,Silver,60+,Midwest,1,1,2025-11-01,2025-12-31,2025-03-02,2025-03-02,244,245,1,0,0,1,1,16,16.0,17,46.68,40.4,6.28,46.68,0.0,0.0,0.0,0.0,0.0041,0,1
PLY00000024,Standard,50-59,Midwest,1,1,2025-11-01,2025-12-31,2025-04-23,2025-10-09,23,193,4,1,3,3,4,97,24.25,137,315.04,284.09,30.95,78.76,163.85,285.2,15.55,27.35,0.0207,3,0
PLY00000025,Standard,21-29,Southwest,0,1,2025-11-01,2025-12-31,2025-03-20,2025-03-20,226,227,1,0,0,1,1,11,11.0,14,25.82,24.52,1.3,25.82,0.0,0.0,0.0,0.0,0.0044,0,1
PLY00000026,Standard,30-39,West,1,1,2025-11-01,2025-12-31,2025-05-26,2025-10-10,22,160,5,2,3,5,5,151,30.2,214,552.84,502.74,50.1,110.568,169.17,320.32,11.02,27.06,0.0313,1,0
PLY00000027,Silver,40-49,West,1,1,2025-11-01,2025-12-31,2025-07-11,2025-10-13,19,114,2,1,1,2,2,22,11.0,31,135.49,126.29,9.2,67.745,7.15,7.15,0.84,0.84,0.0175,3,0
PLY00000028,Standard,50-59,Midwest,1,1,2025-11-01,2025-12-31,2025-01-02,2025-05-28,157,304,3,0,0,3,3,60,20.0,71,283.24,262.53,20.71,94.413333,0.0,0.0,0.0,0.0,0.0099,0,1
PLY00000029,Silver,50-59,Northeast,1,1,2025-11-01,2025-12-31,2025-02-06,2025-05-24,161,269,3,0,0,3,3,42,14.0,52,92.96,85.95,7.01,30.986666,0.0,0.0,0.0,0.0,0.0112,0,1
PLY00000030,Standard,21-29,Southeast,1,1,2025-11-01,2025-12-31,2025-04-06,2025-05-10,175,210,2,0,0,2,2,71,35.5,91,168.46,148.58,19.88,84.23,0.0,0.0,0.0,0.0,0.0095,0,1
PLY00000031,Standard,50-59,West,1,1,2025-11-01,2025-12-31,2025-02-01,2025-05-18,167,274,3,0,0,2,3,24,8.0,22,57.08,55.81,1.27,19.026666,0.0,0.0,0.0,0.0,0.0109,0,1
PLY00000032,Standard,21-29,Southwest,0,1,2025-11-01,2025-12-31,2025-01-28,2025-02-23,251,278,2,0,0,2,2,33,16.5,49,78.68,70.37,8.31,39.34,0.0,0.0,0.0,0.0,0.0072,0,1
PLY00000033,Standard,60+,Southwest,1,1,2025-11-01,2025-12-31,2025-03-18,2025-04-26,189,229,3,0,0,2,3,19,6.333333,26,58.04,50.41,7.63,19.346666,0.0,0.0,0.0,0.0,0.0131,0,1
PLY00000034,Standard,50-59,Southwest,0,1,2025-11-01,2025-12-31,2025-04-03,2025-06-29,125,213,2,0,0,2,2,31,15.5,35,112.05,102.03,10.02,56.025,0.0,0.0,0.0,0.0,0.0094,0,1
PLY00000035,Standard,40-49,Southwest,0,1,2025-11-01,2025-12-31,2025-10-03,2025-10-03,29,30,1,1,1,1,1,20,20.0,32,82.01,79.33,2.68,82.01,82.01,82.01,2.68,2.68,0.0333,1,0
PLY00000036,Standard,60+,Southeast,1,1,2025-11-01,2025-12-31,2025-01-05,2025-01-05,300,301,1,0,0,1,1,7,7.0,7,10.77,9.95,0.82,10.77,0.0,0.0,0.0,0.0,0.0033,0,1
PLY00000037,Standard,50-59,Northeast,1,1,2025-11-01,2025-12-31,2025-01-05,2025-01-07,298,301,2,0,0,2,2,74,37.0,89,248.13,211.86,36.27,124.065,0.0,0.0,0.0,0.0,0.0066,0,1
PLY00000038,Standard,21-29,Southeast,1,1,2025-11-01,2025-12-31,2025-06-18,2025-09-24,38,137,3,0,2,3,3,65,21.666666,77,201.54,190.94,10.6,67.18,0.0,153.55,0.0,3.98,0.0219,2,0
PLY00000040,Standard,60+,Southeast,1,1,2025-11-01,2025-12-31,2025-03-12,2025-07-27,97,235,4,0,0,3,4,160,40.0,245,530.04,491.9,38.14,132.51,0.0,0.0,0.0,0.0,0.017,1,0
PLY00000041,Standard,30-39,Northeast,1,1,2025-11-01,2025-12-31,2025-08-02,2025-09-24,38,92,4,0,3,4,4,93,23.25,123,251.93,227.24,24.69,62.9825,0.0,242.51,0.0,23.87,0.0435,5,0
PLY00000042,Standard,60+,Midwest,0,1,2025-11-01,2025-12-31,2025-04-08,2025-10-10,22,208,4,1,2,4,4,97,24.25,140,389.57,352.21,37.36,97.3925,14.3,259.39,2.22,24.09,0.0192,2,0
PLY00000043,Standard,60+,West,0,1,2025-11-01,2025-12-31,2025-03-14,2025-05-04,181,233,2,0,0,2,2,42,21.0,40,39.47,36.4,3.07,19.735,0.0,0.0,0.0,0.0,0.0086,0,1
PLY00000044,Standard,60+,Southwest,1,1,2025-11-01,2025-12-31,2025-04-15,2025-04-15,200,201,1,0,0,1,1,16,16.0,17,18.93,16.54,2.39,18.93,0.0,0.0,0.0,0.0,0.005,0,1
PLY00000046,Standard,50-59,Southeast,0,1,2025-11-01,2025-12-31,2025-02-16,2025-02-16,258,259,1,0,0,1,1,6,6.0,6,11.65,10.59,1.06,11.65,0.0,0.0,0.0,0.0,0.0039,0,1
PLY00000047,Standard,50-59,Southwest,1,1,2025-11-01,2025-12-31,2025-05-27,2025-10-26,6,159,6,3,5,4,6,156,26.0,279,997.94,918.77,79.17,166.323333,804.18,891.38,67.73,74.54,0.0377,3,0
PLY00000048,Gold,30-39,Southwest,0,1,2025-11-01,2025-12-31,2025-08-31,2025-08-31,62,63,1,0,1,1,1,15,15.0,21,79.24,70.65,8.59,79.24,0.0,79.24,0.0,8.59,0.0159,2,0
PLY00000049,Platinum,40-49,Northeast,0,1,2025-11-01,2025-12-31,2025-03-15,2025-03-22,224,232,2,0,0,2,2,36,18.0,65,210.3,192.49,17.81,105.15,0.0,0.0,0.0,0.0,0.0086,0,1
PLY00000050,Standard,50-59,Northeast,0,1,2025-11-01,2025-12-31,2025-06-24,2025-06-24,130,131,1,0,0,1,1,76,76.0,105,689.09,656.77,32.32,689.09,0.0,0.0,0.0,0.0,0.0076,2,0
PLY00000052,Standard,50-59,Northeast,0,1,2025-11-01,2025-12-31,2025-01-16,2025-04-05,210,290,2,0,0,2,2,12,6.0,16,15.13,12.83,2.3,7.565,0.0,0.0,0.0,0.0,0.0069,0,1
PLY00000053,Gold,50-59,Midwest,1,1,2025-11-01,2025-12-31,2025-05-20,2025-10-06,26,166,5,1,3,4,5,334,66.8,567,4057.43,3651.19,406.24,811.486,1213.61,2360.7,94.4,213.53,0.0301,4,0
PLY00000054,Standard,60+,Northeast,1,1,2025-11-01,2025-12-31,2025-03-15,2025-03-15,231,232,1,0,0,1,1,27,27.0,32,183.46,163.82,19.64,183.46,0.0,0.0,0.0,0.0,0.0043,0,1
PLY00000055,Silver,40-49,Southeast,0,1,2025-11-01,2025-12-31,2025-01-13,2025-07-05,119,293,2,0,0,2,2,92,46.0,100,156.85,147.78,9.07,78.425,0.0,0.0,0.0,0.0,0.0068,0,1
PLY00000056,Standard,21-29,Southwest,1,1,2025-11-01,2025-12-31,2025-07-03,2025-09-29,33,122,3,0,1,3,3,90,30.0,141,715.34,614.33,101.01,238.446666,0.0,50.89,0.0,7.03,0.0246,2,0
PLY00000057,Standard,40-49,Northeast,1,1,2025-11-01,2025-12-31,2025-01-14,2025-04-22,193,292,4,0,0,2,4,141,35.25,190,588.71,536.41,52.3,147.1775,0.0,0.0,0.0,0.0,0.0137,0,1
PLY00000058,Standard,60+,Southwest,1,1,2025-11-01,2025-12-31,2025-01-24,2025-04-21,194,282,4,0,0,4,4,54,13.5,72,186.58,168.52,18.06,46.645,0.0,0.0,0.0,0.0,0.0142,0,1
PLY00000059,Standard,21-29,West,0,1,2025-11-01,2025-12-31,2025-01-07,2025-05-28,157,299,3,0,0,3,3,53,17.666666,61,174.23,158.77,15.46,58.076666,0.0,0.0,0.0,0.0,0.01,0,1
PLY00000060,Standard,60+,Southeast,1,1,2025-11-01,2025-12-31,2025-05-14,2025-10-23,9,172,3,1,1,3,3,99,33.0,149,534.78,496.98,37.8,178.26,300.77,300.77,23.05,23.05,0.0174,2,0
PLY00000061,Standard,21-29,Southwest,0,1,2025-11-01,2025-12-31,2025-01-20,2025-01-20,285,286,1,0,0,1,1,8,8.0,7,7.16,6.78,0.38,7.16,0.0,0.0,0.0,0.0,0.0035,0,1
PLY00000062,Standard,50-59,Midwest,0,1,2025-11-01,2025-12-31,2025-01-22,2025-02-10,264,284,3,0,0,2,3,34,11.333333,38,60.9,54.39,6.51,20.3,0.0,0.0,0.0,0.0,0.0106,0,1
PLY00000063,Platinum,40-49,Southwest,0,1,2025-11-01,2025-12-31,2025-06-04,2025-10-10,22,151,4,1,2,3,4,231,57.75,361,1118.04,1067.72,50.32,279.51,140.35,247.75,19.23,27.41,0.0265,3,0
PLY00000064,Standard,50-59,Northeast,1,1,2025-11-01,2025-12-31,2025-05-08,2025-08-25,68,178,3,0,1,3,3,57,19.0,86,488.79,457.27,31.52,162.93,0.0,373.61,0.0,21.25,0.0169,0,1
PLY00000065,Silver,40-49,Northeast,0,1,2025-11-01,2025-12-31,2025-05-20,2025-10-02,30,166,6,1,1,5,6,255,42.5,424,1452.04,1336.85,115.19,242.006666,440.6,440.6,37.36,37.36,0.0361,1,0
PLY00000066,Standard,60+,Northeast,0,1,2025-11-01,2025-12-31,2025-01-11,2025-06-09,145,295,4,0,0,4,4,46,11.5,48,59.77,52.78,6.99,14.9425,0.0,0.0,0.0,0.0,0.0136,0,1
PLY00000067,Gold,40-49,Southeast,1,1,2025-11-01,2025-12-31,2025-04-22,2025-10-27,5,194,7,1,4,5,6,202,28.857142,314,1192.41,1067.89,124.52,170.344285,250.42,499.44,29.87,47.53,0.0361,1,0
PLY00000068,Silver,60+,Midwest,1,1,2025-11-01,2025-12-31,2025-01-10,2025-06-22,132,296,8,0,0,7,8,235,29.375,348,770.83,694.17,76.66,96.35375,0.0,0.0,0.0,0.0,0.027,0,1
PLY00000069,Silver,30-39,Northeast,0,1,2025-11-01,2025-12-31,2025-01-18,2025-05-21,164,288,4,0,0,2,4,118,29.5,172,259.82,239.81,20.01,64.955,0.0,0.0,0.0,0.0,0.0139,0,1
PLY00000070,Standard,50-59,Northeast,1,1,2025-11-01,2025-12-31,2025-05-28,2025-10-12,20,158,4,2,2,4,4,94,23.5,141,755.83,704.69,51.14,188.9575,508.82,508.82,24.83,24.83,0.0253,1,0
PLY00000071,Standard,40-49,Midwest,0,1,2025-11-01,2025-12-31,2025-01-07,2025-07-02,122,299,3,0,0,2,3,86,28.666666,128,319.41,290.42,28.99,106.47,0.0,0.0,0.0,0.0,0.01,0,1
PLY00000072,Standard,60+,Midwest,1,1,2025-11-01,2025-12-31,2025-01-13,2025-03-15,231,293,4,0,0,3,4,46,11.5,60,63.57,56.84,6.73,15.8925,0.0,0.0,0.0,0.0,0.0137,0,1
PLY00000073,Gold,40-49,Southwest,0,1,2025-11-01,2025-12-31,2025-01-09,2025-05-30,155,297,3,0,0,3,3,27,9.0,30,41.9,36.67,5.23,13.966666,0.0,0.0,0.0,0.0,0.0101,0,1
PLY00000074,Gold,21-29,Southwest,0,1,2025-11-01,2025-12-31,2025-07-17,2025-09-27,35,108,3,0,2,3,3,139,46.333333,247,1767.72,1621.26,146.46,589.24,0.0,1030.58,0.0,82.73,0.0278,2,0
PLY00000075,Platinum,50-59,West,1,1,2025-11-01,2025-12-31,2025-07-12,2025-10-23,9,113,4,2,3,3,4,190,47.5,332,2736.47,2441.65,294.82,684.1175,785.53,2449.29,87.51,254.15,0.0354,6,0
PLY00000076,Standard,60+,Northeast,1,1,2025-11-01,2025-12-31,2025-06-29,2025-06-29,125,126,1,0,0,1,1,33,33.0,50,40.89,35.77,5.12,40.89,0.0,0.0,0.0,0.0,0.0079,0,1
PLY00000078,Standard,30-39,Southwest,1,1,2025-11-01,2025-12-31,2025-04-05,2025-10-27,5,211,6,2,5,5,6,198,33.0,287,792.8,696.46,96.34,132.133333,313.81,524.56,38.9,48.54,0.0284,2,0
PLY00000079,Silver,60+,Southeast,1,1,2025-11-01,2025-12-31,2025-06-03,2025-08-04,89,152,4,0,2,4,4,148,37.0,207,431.78,380.15,51.63,107.945,0.0,251.07,0.0,32.09,0.0263,5,0
PLY00000080,Standard,40-49,Southwest,1,1,2025-11-01,2025-12-31,2025-07-29,2025-09-22,40,96,2,0,1,2,2,87,43.5,117,410.0,366.23,43.77,205.0,0.0,258.46,0.0,32.18,0.0208,2,0
PLY00000081,Standard,50-59,Northeast,1,1,2025-11-01,2025-12-31,2025-04-04,2025-06-07,147,212,2,0,0,2,2,27,13.5,44,66.81,59.55,7.26,33.405,0.0,0.0,0.0,0.0,0.0094,0,1
PLY00000082,Standard,50-59,Midwest,1,1,2025-11-01,2025-12-31,2025-05-16,2025-09-12,50,170,6,0,3,5,6,143,23.833333,206,379.59,348.17,31.42,63.265,0.0,300.89,0.0,22.97,0.0353,1,0
PLY00000083,Gold,50-59,West,0,1,2025-11-01,2025-12-31,2025-01-17,2025-04-27,188,289,3,0,0,2,3,40,13.333333,57,117.29,104.91,12.38,39.096666,0.0,0.0,0.0,0.0,0.0104,0,1
PLY00000084,Standard,21-29,Southwest,1,1,2025-11-01,2025-12-31,2025-01-26,2025-02-14,260,280,2,0,0,2,2,26,13.0,32,99.05,87.79,11.26,49.525,0.0,0.0,0.0,0.0,0.0071,0,1
PLY00000087,Standard,50-59,Midwest,1,1,2025-11-01,2025-12-31,2025-01-12,2025-02-03,271,294,3,0,0,3,3,108,36.0,155,190.48,169.87,20.61,63.493333,0.0,0.0,0.0,0.0,0.0102,0,1
PLY00000088,Gold,50-59,Northeast,1,1,2025-11-01,2025-12-31,2025-08-10,2025-09-10,52,84,3,0,3,3,3,375,125.0,734,7618.25,7137.86,480.39,2539.416666,0.0,7618.25,0.0,480.39,0.0357,7,0
PLY00000089,Silver,21-29,Northeast,0,1,2025-11-01,2025-12-31,2025-07-08,2025-07-25,99,117,2,0,0,2,2,125,62.5,182,744.38,677.73,66.65,372.19,0.0,0.0,0.0,0.0,0.0171,4,0
PLY00000090,Standard,60+,Southeast,1,1,2025-11-01,2025-12-31,2025-01-18,2025-02-19,255,288,2,0,0,2,2,26,13.0,30,81.01,74.06,6.95,40.505,0.0,0.0,0.0,0.0,0.0069,0,1
PLY00000091,Standard,30-39,Southeast,1,1,2025-11-01,2025-12-31,2025-10-11,2025-10-20,12,22,3,3,3,3,3,47,15.666666,71,73.6,64.18,9.42,24.533333,73.6,73.6,9.42,9.42,0.1364,3,0
PLY00000092,Gold,21-29,Midwest,0,1,2025-11-01,2025-12-31,2025-06-24,2025-08-08,85,131,4,0,1,4,4,245,61.25,410,1304.38,1197.0,107.38,326.095,0.0,64.74,0.0,10.9,0.0305,4,0
PLY00000093,Standard,40-49,Southeast,1,1,2025-11-01,2025-12-31,2025-06-30,2025-08-15,78,125,2,0,1,1,2,58,29.0,50,262.26,219.72,42.54,131.13,0.0,238.45,0.0,41.25,0.016,1,0
PLY00000094,Standard,40-49,Southeast,1,1,2025-11-01,2025-12-31,2025-03-05,2025-03-05,241,242,1,0,0,1,1,6,6.0,10,49.06,42.78,6.28,49.06,0.0,0.0,0.0,0.0,0.0041,0,1
PLY00000095,Standard,30-39,Southwest,1,1,2025-11-01,2025-12-31,2025-03-13,2025-07-13,111,234,4,0,0,4,4,112,28.0,148,140.6,129.45,11.15,35.15,0.0,0.0,0.0,0.0,0.0171,0,1
PLY00000096,Standard,40-49,West,1,1,2025-11-01,2025-12-31,2025-02-26,2025-03-29,217,249,2,0,0,2,2,89,44.5,135,402.37,370.93,31.44,201.185,0.0,0.0,0.0,0.0,0.008,0,1
PLY00000097,Standard,60+,Northeast,0,1,2025-11-01,2025-12-31,2025-05-08,2025-05-08,177,178,1,0,0,1,1,16,16.0,18,30.91,27.39,3.52,30.91,0.0,0.0,0.0,0.0,0.0056,0,1
PLY00000098,Silver,40-49,Southwest,1,1,2025-11-01,2025-12-31,2025-09-06,2025-09-21,41,57,2,0,2,2,2,46,23.0,57,219.8,195.32,24.48,109.9,0.0,219.8,0.0,24.48,0.0351,3,0
PLY00000099,Platinum,50-59,Southwest,1,1,2025-11-01,2025-12-31,2025-08-29,2025-10-07,25,65,2,1,2,1,1,63,31.5,108,1341.55,1176.69,164.86,670.775,85.05,1341.55,10.47,164.86,0.0308,4,0
PLY00000100,Gold,21-29,Northeast,1,1,2025-11-01,2025-12-31,2025-10-04,2025-10-25,7,29,2,2,2,2,2,63,31.5,89,138.15,127.73,10.42,69.075,138.15,138.15,10.42,10.42,0.069,5,0
PLY00000101,Standard,60+,West,1,1,2025-11-01,2025-12-31,2025-03-24,2025-08-01,92,223,2,0,0,2,2,37,18.5,45,90.2,81.47,8.73,45.1,0.0,0.0,0.0,0.0,0.009,0,1
PLY00000102,Platinum,60+,Midwest,1,1,2025-11-01,2025-12-31,2025-07-06,2025-09-25,37,119,6,0,5,6,6,238,39.666666,425,3206.26,2886.79,319.47,534.376666,0.0,3182.26,0.0,318.25,0.0504,7,0
PLY00000103,Standard,21-29,West,0,1,2025-11-01,2025-12-31,2025-03-15,2025-03-15,231,232,1,0,0,1,1,9,9.0,8,13.29,11.88,1.41,13.29,0.0,0.0,0.0,0.0,0.0043,0,1
PLY00000104,Standard,30-39,Southwest,1,1,2025-11-01,2025-12-31,2025-09-19,2025-10-15,17,44,3,2,3,3,3,88,29.333333,128,763.94,709.97,53.97,254.646666,677.75,763.94,41.98,53.97,0.0682,2,0
PLY00000105,Standard,21-29,Midwest,1,1,2025-11-01,2025-12-31,2025-02-03,2025-09-30,32,272,6,0,1,4,5,144,24.0,214,412.92,374.49,38.43,68.82,0.0,75.61,0.0,8.16,0.0221,0,1
PLY00000106,Standard,30-39,Southwest,1,1,2025-11-01,2025-12-31,2025-04-13,2025-08-22,71,203,2,0,1,2,2,45,22.5,56,203.18,173.36,29.82,101.59,0.0,128.91,0.0,22.65,0.0099,1,0
PLY00000107,Standard,21-29,Midwest,0,1,2025-11-01,2025-12-31,2025-06-24,2025-10-08,24,131,4,1,3,3,4,59,14.75,67,177.94,164.43,13.51,44.485,28.72,128.07,2.31,9.95,0.0305,1,0
PLY00000108,Silver,60+,West,1,1,2025-11-01,2025-12-31,2025-08-05,2025-10-01,31,89,2,0,2,2,2,76,38.0,105,486.48,468.55,17.93,243.24,0.0,486.48,0.0,17.93,0.0225,1,0
PLY00000109,Standard,50-59,Northeast,0,1,2025-11-01,2025-12-31,2025-05-10,2025-05-10,175,176,1,0,0,1,1,10,10.0,15,52.73,45.91,6.82,52.73,0.0,0.0,0.0,0.0,0.0057,0,1
PLY00000110,Standard,60+,West,1,1,2025-11-01,2025-12-31,2025-01-17,2025-06-05,149,289,3,0,0,3,3,63,21.0,88,391.51,348.8,42.71,130.503333,0.0,0.0,0.0,0.0,0.0104,0,1
PLY00000111,Standard,21-29,Midwest,0,1,2025-11-01,2025-12-31,2025-05-29,2025-05-29,156,157,1,0,0,1,1,17,17.0,26,50.05,42.91,7.14,50.05,0.0,0.0,0.0,0.0,0.0064,0,1
PLY00000112,Silver,60+,Southeast,0,1,2025-11-01,2025-12-31,2025-02-02,2025-06-02,152,273,5,0,0,3,5,112,22.4,159,589.26,517.66,71.6,117.852,0.0,0.0,0.0,0.0,0.0183,0,1
PLY00000113,Platinum,60+,West,1,1,2025-11-01,2025-12-31,2025-08-09,2025-08-24,69,85,2,0,2,2,2,26,13.0,38,349.09,325.0,24.09,174.545,0.0,349.09,0.0,24.09,0.0235,1,0
PLY00000114,Silver,40-49,Northeast,1,1,2025-11-01,2025-12-31,2025-08-10,2025-10-13,19,84,4,1,4,4,4,147,36.75,211,671.29,623.92,47.37,167.8225,272.08,671.29,23.31,47.37,0.0476,3,0
PLY00000115,Standard,40-49,Midwest,1,1,2025-11-01,2025-12-31,2025-01-05,2025-04-06,209,301,2,0,0,2,2,46,23.0,63,152.67,142.17,10.5,76.335,0.0,0.0,0.0,0.0,0.0066,0,1
PLY00000116,Silver,50-59,Northeast,1,1,2025-11-01,2025-12-31,2025-09-17,2025-09-17,45,46,1,0,1,1,1,9,9.0,15,89.4,82.05,7.35,89.4,0.0,89.4,0.0,7.35,0.0217,1,0
PLY00000117,Standard,60+,Southeast,1,1,2025-11-01,2025-12-31,2025-04-14,2025-10-08,24,202,3,1,1,3,3,47,15.666666,54,120.9,111.37,9.53,40.3,11.38,11.38,0.74,0.74,0.0149,1,0
PLY00000118,Standard,40-49,Midwest,0,1,2025-11-01,2025-12-31,2025-01-24,2025-03-04,242,282,3,0,0,2,3,33,11.0,51,160.86,142.69,18.17,53.62,0.0,0.0,0.0,0.0,0.0106,0,1
PLY00000119,Standard,21-29,Southeast,1,1,2025-11-01,2025-12-31,2025-07-20,2025-10-21,11,105,6,2,5,5,6,177,29.5,277,1490.58,1375.11,115.47,248.43,824.26,1438.44,28.3,112.99,0.0571,3,0
PLY00000120,Silver,40-49,Southwest,1,1,2025-11-01,2025-12-31,2025-05-01,2025-06-17,137,185,3,0,0,2,3,72,24.0,86,419.29,382.76,36.53,139.763333,0.0,0.0,0.0,0.0,0.0162,1,0
PLY00000121,Standard,40-49,Southeast,0,1,2025-11-01,2025-12-31,2025-10-28,2025-10-28,4,5,1,1,1,1,1,24,24.0,28,54.25,47.9,6.35,54.25,54.25,54.25,6.35,6.35,0.2,1,0
PLY00000122,Standard,40-49,West,1,1,2025-11-01,2025-12-31,2025-03-06,2025-06-16,138,241,2,0,0,1,2,52,26.0,52,122.54,118.27,4.27,61.27,0.0,0.0,0.0,0.0,0.0083,0,1
PLY00000123,Standard,50-59,West,1,1,2025-11-01,2025-12-31,2025-01-21,2025-01-21,284,285,1,0,0,1,1,21,21.0,29,31.52,27.02,4.5,31.52,0.0,0.0,0.0,0.0,0.0035,0,1
PLY00000124,Gold,30-39,Midwest,1,1,2025-11-01,2025-12-31,2025-04-06,2025-08-12,81,210,3,0,1,3,3,83,27.666666,121,439.32,413.2,26.12,146.44,0.0,48.64,0.0,2.13,0.0143,0,1
PLY00000125,Standard,50-59,Southeast,1,1,2025-11-01,2025-12-31,2025-07-28,2025-07-28,96,97,1,0,0,1,1,21,21.0,26,116.32,110.52,5.8,116.32,0.0,0.0,0.0,0.0,0.0103,4,0
