activity_date,location_id,location_name,region,location_type,activity_year,activity_month,activity_quarter,day_of_week_number,day_of_week_name,is_weekend,transaction_count,session_count,unique_player_count,active_machine_count,total_wager,total_payout,jackpot_amount,net_gaming_revenue,event_count,downtime_minutes,critical_event_count,revenue_lag_1_day,revenue_lag_7_days,revenue_lag_14_days,previous_7_day_average_revenue,previous_30_day_average_revenue,previous_7_day_average_sessions
2025-01-17,LOC0005,North Donnaport Gaming Center,Northeast,Entertainment Center,2025,1,1,6,Friday,0,16,4,4,3,676.01,627.43,0.0,48.58,3,12,0,16.34,14.37,3.08,13.44,9.4,2.57
2025-01-17,LOC0006,Jasonview Gaming Center,Southwest,Casino,2025,1,1,6,Friday,0,60,11,11,7,1995.77,1801.52,0.0,194.25,1,4,0,22.85,22.96,3.71,81.47,60.52,8.0
2025-01-17,LOC0007,Meganton Gaming Center,Northeast,Casino,2025,1,1,6,Friday,0,36,7,7,5,752.27,719.69,0.0,32.58,5,168,0,113.61,17.55,17.48,70.64,56.67,7.86
2025-01-17,LOC0008,Lake Victor Gaming Center,Southeast,Bar,2025,1,1,6,Friday,0,25,8,8,6,331.79,296.24,0.0,35.55,2,37,0,29.58,18.86,-0.57,30.36,25.22,5.0
2025-01-17,LOC0009,Coxberg Gaming Center,West,Entertainment Center,2025,1,1,6,Friday,0,10,3,3,3,204.59,194.74,0.0,9.85,3,17,0,17.45,5.55,-22.29,26.7,27.89,4.0
2025-01-17,LOC0010,South Patrickmouth Gaming Center,Northeast,Entertainment Center,2025,1,1,6,Friday,0,11,5,5,2,130.03,118.82,0.0,11.21,2,8,0,-1.91,35.74,6.89,36.78,22.57,3.43
2025-01-18,LOC0001,North Judithbury Gaming Center,Northeast,Casino,2025,1,1,7,Saturday,1,20,6,6,6,543.45,485.09,0.0,58.36,2,49,0,177.54,56.97,23.43,77.95,46.85,7.71
2025-01-18,LOC0002,North Jefferyhaven Gaming Center,Midwest,Bar,2025,1,1,7,Saturday,1,11,4,4,3,122.72,113.05,0.0,9.67,2,13,0,39.37,57.69,7.8,31.9,24.0,4.86
2025-01-18,LOC0003,Lake Roberto Gaming Center,Southeast,Bar,2025,1,1,7,Saturday,1,19,4,4,3,167.67,151.01,0.0,16.66,2,23,0,27.79,9.49,4.31,33.63,36.65,4.71
2025-01-18,LOC0004,Lake Stephenville Gaming Center,Northeast,Entertainment Center,2025,1,1,7,Saturday,1,23,7,7,6,420.82,384.2,0.0,36.62,1,149,1,84.47,8.42,4.41,38.33,38.03,5.57
2025-01-18,LOC0005,North Donnaport Gaming Center,Northeast,Entertainment Center,2025,1,1,7,Saturday,1,10,3,3,2,219.4,210.38,0.0,9.02,1,0,0,48.58,3.58,0.25,18.33,12.01,2.71
2025-01-18,LOC0006,Jasonview Gaming Center,Southwest,Casino,2025,1,1,7,Saturday,1,27,5,5,4,264.91,237.22,0.0,27.69,7,258,0,194.25,50.58,64.83,105.94,68.39,8.86
2025-01-18,LOC0007,Meganton Gaming Center,Northeast,Casino,2025,1,1,7,Saturday,1,42,11,11,8,833.6,738.76,0.0,94.84,5,67,0,32.58,110.05,87.08,72.78,55.26,8.29
2025-01-18,LOC0008,Lake Victor Gaming Center,Southeast,Bar,2025,1,1,7,Saturday,1,18,8,8,6,391.21,348.74,0.0,42.47,1,2,0,35.55,21.77,0.71,32.74,25.87,5.43
2025-01-18,LOC0009,Coxberg Gaming Center,West,Entertainment Center,2025,1,1,7,Saturday,1,33,9,9,4,949.41,891.04,162.75,58.37,5,193,1,9.85,27.7,85.14,27.32,26.83,4.29
2025-01-18,LOC0010,South Patrickmouth Gaming Center,Northeast,Entertainment Center,2025,1,1,7,Saturday,1,6,2,2,2,93.66,86.87,0.0,6.79,0,0,0,11.21,71.55,12.41,33.28,21.9,3.71
2025-01-19,LOC0001,North Judithbury Gaming Center,Northeast,Casino,2025,1,1,1,Sunday,1,16,4,4,3,913.74,788.05,0.0,125.69,1,13,0,58.36,120.29,39.18,78.15,47.49,7.57
2025-01-19,LOC0002,North Jefferyhaven Gaming Center,Midwest,Bar,2025,1,1,1,Sunday,1,17,7,7,3,599.32,543.31,0.0,56.01,3,75,0,9.67,11.99,34.04,25.04,23.21,4.29
2025-01-19,LOC0003,Lake Roberto Gaming Center,Southeast,Bar,2025,1,1,1,Sunday,1,22,6,6,3,563.88,501.45,0.0,62.43,2,17,0,16.66,72.71,59.99,34.65,35.48,4.86
2025-01-19,LOC0004,Lake Stephenville Gaming Center,Northeast,Entertainment Center,2025,1,1,1,Sunday,1,13,4,4,4,366.64,341.08,0.0,25.56,3,15,0,36.62,27.1,35.39,42.36,37.95,6.14
2025-01-19,LOC0005,North Donnaport Gaming Center,Northeast,Entertainment Center,2025,1,1,1,Sunday,1,8,4,4,3,173.67,157.31,0.0,16.36,1,5,0,9.02,28.97,4.53,19.1,11.82,3.0
2025-01-19,LOC0006,Jasonview Gaming Center,Southwest,Casino,2025,1,1,1,Sunday,1,19,8,8,5,312.96,292.65,0.0,20.31,2,38,0,27.69,211.19,48.0,102.67,66.13,8.57
2025-01-19,LOC0007,Meganton Gaming Center,Northeast,Casino,2025,1,1,1,Sunday,1,38,10,10,5,1359.49,1254.06,0.0,105.43,4,23,0,94.84,25.67,42.67,70.61,57.46,8.71
2025-01-19,LOC0008,Lake Victor Gaming Center,Southeast,Bar,2025,1,1,1,Sunday,1,4,1,1,1,19.58,17.6,0.0,1.98,3,83,0,42.47,64.65,5.6,35.7,26.84,6.14
2025-01-19,LOC0009,Coxberg Gaming Center,West,Entertainment Center,2025,1,1,1,Sunday,1,3,3,3,3,100.1,94.12,0.0,5.98,0,0,0,58.37,83.01,34.06,31.7,28.58,5.29
2025-01-20,LOC0001,North Judithbury Gaming Center,Northeast,Casino,2025,1,1,2,Monday,0,14,5,5,4,842.55,762.01,0.0,80.54,1,19,0,125.69,52.49,10.08,78.92,51.6,7.0
2025-01-20,LOC0002,North Jefferyhaven Gaming Center,Midwest,Bar,2025,1,1,2,Monday,0,10,5,5,3,112.66,103.36,0.0,9.3,1,1,0,56.01,14.08,19.39,31.32,24.93,4.86
2025-01-20,LOC0003,Lake Roberto Gaming Center,Southeast,Bar,2025,1,1,2,Monday,0,15,5,5,4,150.37,133.33,0.0,17.04,0,0,0,62.43,26.42,42.29,33.18,36.97,4.71
2025-01-20,LOC0004,Lake Stephenville Gaming Center,Northeast,Entertainment Center,2025,1,1,2,Monday,0,12,4,4,3,356.39,331.01,0.0,25.38,3,65,0,25.56,21.25,18.4,42.14,37.3,5.86
2025-01-20,LOC0005,North Donnaport Gaming Center,Northeast,Entertainment Center,2025,1,1,2,Monday,0,10,2,2,2,456.91,431.6,0.0,25.31,0,0,0,16.36,22.54,5.3,17.3,12.09,3.29
2025-01-20,LOC0006,Jasonview Gaming Center,Southwest,Casino,2025,1,1,2,Monday,0,8,2,2,2,191.79,175.9,0.0,15.89,1,3,0,20.31,52.68,61.34,75.4,63.71,8.29
2025-01-20,LOC0007,Meganton Gaming Center,Northeast,Casino,2025,1,1,2,Monday,0,25,6,6,5,642.71,572.03,0.0,70.68,6,129,0,105.43,64.15,70.77,82.01,59.98,9.14
2025-01-20,LOC0008,Lake Victor Gaming Center,Southeast,Bar,2025,1,1,2,Monday,0,21,4,4,3,164.1,144.0,0.0,20.1,4,119,0,1.98,12.0,99.5,26.75,25.46,5.43
2025-01-20,LOC0009,Coxberg Gaming Center,West,Entertainment Center,2025,1,1,2,Monday,0,15,4,4,3,347.69,312.69,0.0,35.0,1,16,0,5.98,12.14,21.17,20.7,27.39,4.57
2025-01-20,LOC0010,South Patrickmouth Gaming Center,Northeast,Entertainment Center,2025,1,1,2,Monday,0,3,2,2,2,34.86,30.7,0.0,4.16,1,17,0,6.79,15.3,32.58,24.03,21.07,3.29
2025-01-21,LOC0001,North Judithbury Gaming Center,Northeast,Casino,2025,1,1,3,Tuesday,0,11,5,5,3,356.34,323.87,0.0,32.47,3,14,0,80.54,35.53,26.33,82.92,53.05,6.57
2025-01-21,LOC0002,North Jefferyhaven Gaming Center,Midwest,Bar,2025,1,1,3,Tuesday,0,24,8,8,6,480.63,434.49,0.0,46.14,6,189,0,9.3,61.14,29.08,30.64,24.15,5.14
2025-01-21,LOC0003,Lake Roberto Gaming Center,Southeast,Bar,2025,1,1,3,Tuesday,0,22,7,7,5,557.74,534.91,0.0,22.83,2,38,0,17.04,44.76,30.75,31.84,35.92,4.71
2025-01-21,LOC0004,Lake Stephenville Gaming Center,Northeast,Entertainment Center,2025,1,1,3,Tuesday,0,23,6,6,4,402.87,360.52,0.0,42.35,1,60,0,25.38,84.64,52.54,42.73,36.7,5.71
2025-01-21,LOC0005,North Donnaport Gaming Center,Northeast,Entertainment Center,2025,1,1,3,Tuesday,0,3,2,2,2,188.59,178.8,0.0,9.79,2,35,0,25.31,2.55,3.57,17.7,12.82,3.0
2025-01-21,LOC0006,Jasonview Gaming Center,Southwest,Casino,2025,1,1,3,Tuesday,0,28,11,11,8,889.04,815.85,0.0,73.19,2,22,0,15.89,24.54,57.93,70.14,61.32,7.14
2025-01-21,LOC0007,Meganton Gaming Center,Northeast,Casino,2025,1,1,3,Tuesday,0,38,8,8,6,1516.03,1341.76,0.0,174.27,1,2,0,70.68,120.12,26.56,82.94,60.52,9.0
2025-01-21,LOC0008,Lake Victor Gaming Center,Southeast,Bar,2025,1,1,3,Tuesday,0,13,5,5,4,809.45,734.77,0.0,74.68,3,38,0,20.1,35.26,27.64,27.9,25.18,5.71
2025-01-21,LOC0009,Coxberg Gaming Center,West,Entertainment Center,2025,1,1,3,Tuesday,0,26,6,6,4,661.39,592.62,0.0,68.77,3,23,0,35.0,6.69,-22.16,23.96,27.77,4.71
2025-01-21,LOC0010,South Patrickmouth Gaming Center,Northeast,Entertainment Center,2025,1,1,3,Tuesday,0,19,4,4,2,515.71,468.32,757.33,47.39,3,31,0,4.16,12.64,1.43,22.43,20.18,3.29
2025-01-22,LOC0001,North Judithbury Gaming Center,Northeast,Casino,2025,1,1,4,Wednesday,0,10,2,2,2,192.06,181.36,0.0,10.7,8,72,0,32.47,24.63,19.49,82.49,52.07,6.57
2025-01-22,LOC0002,North Jefferyhaven Gaming Center,Midwest,Bar,2025,1,1,4,Wednesday,0,20,3,3,3,365.76,331.47,0.0,34.29,1,23,0,46.14,22.59,9.36,28.5,25.2,5.29
2025-01-22,LOC0003,Lake Roberto Gaming Center,Southeast,Bar,2025,1,1,4,Wednesday,0,10,1,1,1,246.86,221.89,0.0,24.97,1,12,0,22.83,40.72,44.07,28.71,35.27,5.0
2025-01-22,LOC0004,Lake Stephenville Gaming Center,Northeast,Entertainment Center,2025,1,1,4,Wednesday,0,23,6,6,5,478.51,431.4,0.0,47.11,5,83,0,42.35,7.01,149.85,36.69,36.97,5.71
2025-01-22,LOC0005,North Donnaport Gaming Center,Northeast,Entertainment Center,2025,1,1,4,Wednesday,0,10,2,2,2,167.65,152.63,0.0,15.02,2,22,0,9.79,5.73,6.82,18.73,12.66,3.0
2025-01-22,LOC0006,Jasonview Gaming Center,Southwest,Casino,2025,1,1,4,Wednesday,0,35,7,7,6,1296.23,1185.77,0.0,110.46,5,71,0,73.19,185.47,82.99,77.09,61.89,7.71
2025-01-22,LOC0007,Meganton Gaming Center,Northeast,Casino,2025,1,1,4,Wednesday,0,29,5,5,5,661.01,601.47,0.0,59.54,4,41,0,174.27,43.31,117.32,90.67,65.93,8.57
2025-01-22,LOC0008,Lake Victor Gaming Center,Southeast,Bar,2025,1,1,4,Wednesday,0,30,9,9,6,506.07,472.01,0.0,34.06,2,25,0,74.68,30.39,0.87,33.54,27.65,5.71
2025-01-22,LOC0009,Coxberg Gaming Center,West,Entertainment Center,2025,1,1,4,Wednesday,0,10,3,3,2,346.67,333.07,0.0,13.6,0,0,0,68.77,34.39,106.69,32.83,29.72,5.29
2025-01-22,LOC0010,South Patrickmouth Gaming Center,Northeast,Entertainment Center,2025,1,1,4,Wednesday,0,23,4,4,2,745.89,671.33,0.0,74.56,0,0,0,47.39,4.78,14.96,27.4,21.54,3.43
2025-01-23,LOC0001,North Judithbury Gaming Center,Northeast,Casino,2025,1,1,5,Thursday,0,33,7,7,5,1487.54,1350.75,0.0,136.79,1,3,0,10.7,78.18,83.49,80.5,50.19,6.0
2025-01-23,LOC0002,North Jefferyhaven Gaming Center,Midwest,Bar,2025,1,1,5,Thursday,0,24,9,9,7,416.94,376.99,0.0,39.95,3,50,0,34.29,16.41,45.38,30.17,25.61,5.14
2025-01-23,LOC0003,Lake Roberto Gaming Center,Southeast,Bar,2025,1,1,5,Thursday,0,7,2,2,2,129.08,114.95,0.0,14.13,3,34,0,24.97,13.51,18.06,26.46,34.78,4.43
2025-01-23,LOC0004,Lake Stephenville Gaming Center,Northeast,Entertainment Center,2025,1,1,5,Thursday,0,9,2,2,2,110.37,102.43,0.0,7.94,0,0,0,47.11,35.41,8.44,42.41,37.43,6.14
2025-01-23,LOC0005,North Donnaport Gaming Center,Northeast,Entertainment Center,2025,1,1,5,Thursday,0,4,3,3,3,157.28,140.78,0.0,16.5,0,0,0,15.02,16.34,13.91,20.06,12.78,3.0
2025-01-23,LOC0006,Jasonview Gaming Center,Southwest,Casino,2025,1,1,5,Thursday,0,38,7,7,6,445.72,391.65,0.0,54.07,3,8,0,110.46,22.85,46.9,66.38,64.1,7.14
2025-01-23,LOC0007,Meganton Gaming Center,Northeast,Casino,2025,1,1,5,Thursday,0,20,8,8,7,445.7,408.99,0.0,36.71,4,27,0,59.54,113.61,21.42,92.99,65.64,8.57
2025-01-23,LOC0008,Lake Victor Gaming Center,Southeast,Bar,2025,1,1,5,Thursday,0,11,4,4,4,202.2,180.79,0.0,21.41,2,57,0,34.06,29.58,24.63,34.06,27.96,6.0
2025-01-23,LOC0009,Coxberg Gaming Center,West,Entertainment Center,2025,1,1,5,Thursday,0,33,7,7,6,2261.1,2031.3,0.0,229.8,2,12,0,13.6,17.45,45.68,29.86,28.99,4.71
2025-01-23,LOC0010,South Patrickmouth Gaming Center,Northeast,Entertainment Center,2025,1,1,5,Thursday,0,16,4,4,4,198.61,178.27,0.0,20.34,2,32,0,74.56,119.37,2.39,37.37,24.06,3.86
2025-01-24,LOC0001,North Judithbury Gaming Center,Northeast,Casino,2025,1,1,6,Friday,0,17,5,5,5,525.62,480.23,0.0,45.39,2,17,0,136.79,177.54,9.21,88.87,53.95,5.57
2025-01-24,LOC0002,North Jefferyhaven Gaming Center,Midwest,Bar,2025,1,1,6,Friday,0,18,5,5,4,259.23,233.8,0.0,25.43,6,137,0,39.95,39.37,12.82,33.53,26.24,6.0
2025-01-24,LOC0003,Lake Roberto Gaming Center,Southeast,Bar,2025,1,1,6,Friday,0,37,10,10,3,727.95,662.59,0.0,65.36,2,56,0,14.13,27.79,115.54,26.55,33.84,3.86
2025-01-24,LOC0004,Lake Stephenville Gaming Center,Northeast,Entertainment Center,2025,1,1,6,Friday,0,10,4,4,4,352.3,314.11,0.0,38.19,2,91,0,7.94,84.47,37.12,38.49,36.15,5.57
2025-01-24,LOC0005,North Donnaport Gaming Center,Northeast,Entertainment Center,2025,1,1,6,Friday,0,4,2,2,2,113.9,106.05,0.0,7.85,1,69,0,16.5,48.58,14.37,20.08,12.96,2.86
2025-01-24,LOC0006,Jasonview Gaming Center,Southwest,Casino,2025,1,1,6,Friday,0,28,7,7,5,756.7,686.08,0.0,70.62,9,125,0,54.07,194.25,22.96,70.84,63.66,7.29
2025-01-24,LOC0007,Meganton Gaming Center,Northeast,Casino,2025,1,1,6,Friday,0,25,6,6,5,823.16,758.32,0.0,64.84,5,115,0,36.71,32.58,17.55,82.01,64.38,7.86
2025-01-24,LOC0008,Lake Victor Gaming Center,Southeast,Bar,2025,1,1,6,Friday,0,31,7,7,5,574.55,532.95,0.0,41.6,0,0,0,21.41,35.55,18.86,32.89,27.66,5.57
2025-01-24,LOC0009,Coxberg Gaming Center,West,Entertainment Center,2025,1,1,6,Friday,0,21,6,6,5,387.6,355.52,0.0,32.08,0,0,0,229.8,9.85,5.55,60.2,37.72,5.0
2025-01-24,LOC0010,South Patrickmouth Gaming Center,Northeast,Entertainment Center,2025,1,1,6,Friday,0,3,2,2,2,73.12,62.97,0.0,10.15,0,0,0,20.34,-1.91,11.56,23.22,23.89,3.71
2025-01-25,LOC0001,North Judithbury Gaming Center,Northeast,Casino,2025,1,1,7,Saturday,1,22,4,4,4,233.98,216.32,0.0,17.66,2,7,0,45.39,58.36,56.97,69.99,53.6,4.86
2025-01-25,LOC0002,North Jefferyhaven Gaming Center,Midwest,Bar,2025,1,1,7,Saturday,1,12,3,3,3,193.23,179.64,0.0,13.59,5,206,0,25.43,9.67,57.69,31.54,26.2,5.86
2025-01-25,LOC0003,Lake Roberto Gaming Center,Southeast,Bar,2025,1,1,7,Saturday,1,12,3,3,2,735.19,687.64,0.0,47.55,2,79,0,65.36,16.66,9.49,31.92,35.21,5.0
2025-01-25,LOC0004,Lake Stephenville Gaming Center,Northeast,Entertainment Center,2025,1,1,7,Saturday,1,4,2,2,2,64.16,58.47,0.0,5.69,0,0,0,38.19,36.62,8.42,31.88,36.24,4.71
2025-01-25,LOC0005,North Donnaport Gaming Center,Northeast,Entertainment Center,2025,1,1,7,Saturday,1,4,1,1,1,145.64,130.33,0.0,15.31,1,28,0,7.85,9.02,3.58,14.26,12.73,2.57
2025-01-25,LOC0006,Jasonview Gaming Center,Southwest,Casino,2025,1,1,7,Saturday,1,37,6,6,4,951.45,872.62,0.0,78.83,5,81,0,70.62,27.69,50.58,53.18,63.95,6.71
2025-01-25,LOC0007,Meganton Gaming Center,Northeast,Casino,2025,1,1,7,Saturday,1,40,9,9,7,758.75,683.96,0.0,74.79,9,118,0,64.84,94.84,110.05,86.62,64.4,7.71
2025-01-25,LOC0008,Lake Victor Gaming Center,Southeast,Bar,2025,1,1,7,Saturday,1,18,7,7,6,227.7,208.39,0.0,19.31,1,0,0,41.6,42.47,21.77,33.76,28.27,5.43
2025-01-25,LOC0009,Coxberg Gaming Center,West,Entertainment Center,2025,1,1,7,Saturday,1,13,3,3,2,234.51,206.05,0.0,28.46,4,25,0,32.08,58.37,27.7,63.37,37.49,5.43
2025-01-25,LOC0010,South Patrickmouth Gaming Center,Northeast,Entertainment Center,2025,1,1,7,Saturday,1,15,4,4,3,250.41,223.32,0.0,27.09,1,49,0,10.15,11.21,35.74,24.94,23.29,3.29
2025-01-26,LOC0001,North Judithbury Gaming Center,Northeast,Casino,2025,1,1,1,Sunday,1,31,10,10,7,745.83,647.22,0.0,98.61,2,287,1,17.66,125.69,120.29,64.18,52.16,4.57
2025-01-26,LOC0002,North Jefferyhaven Gaming Center,Midwest,Bar,2025,1,1,1,Sunday,1,26,5,5,3,573.76,516.98,0.0,56.78,6,95,0,13.59,56.01,11.99,32.1,25.7,5.71
2025-01-26,LOC0003,Lake Roberto Gaming Center,Southeast,Bar,2025,1,1,1,Sunday,1,24,7,7,5,615.39,547.98,0.0,67.41,6,222,0,47.55,62.43,72.71,36.33,35.72,4.86
2025-01-26,LOC0004,Lake Stephenville Gaming Center,Northeast,Entertainment Center,2025,1,1,1,Sunday,1,12,5,5,5,113.33,103.81,0.0,9.52,5,84,0,5.69,25.56,27.1,27.46,35.01,4.0
2025-01-26,LOC0006,Jasonview Gaming Center,Southwest,Casino,2025,1,1,1,Sunday,1,47,10,10,6,1425.61,1285.43,0.0,140.18,6,41,0,78.83,20.31,211.19,60.48,64.55,6.86
2025-01-26,LOC0007,Meganton Gaming Center,Northeast,Casino,2025,1,1,1,Sunday,1,42,10,10,7,803.66,740.72,0.0,62.94,3,81,0,74.79,105.43,25.67,83.75,64.82,7.43
2025-01-26,LOC0008,Lake Victor Gaming Center,Southeast,Bar,2025,1,1,1,Sunday,1,25,8,8,4,1104.86,1045.02,0.0,59.84,3,67,0,19.31,1.98,64.65,30.45,27.89,5.29
2025-01-26,LOC0009,Coxberg Gaming Center,West,Entertainment Center,2025,1,1,1,Sunday,1,21,5,5,4,970.92,847.87,0.0,123.05,3,14,0,28.46,5.98,83.01,59.1,37.12,4.57
2025-01-26,LOC0010,South Patrickmouth Gaming Center,Northeast,Entertainment Center,2025,1,1,1,Sunday,1,18,4,4,3,325.68,279.0,0.0,46.68,3,41,0,27.09,6.79,71.55,27.21,23.45,3.14
2025-01-27,LOC0001,North Judithbury Gaming Center,Northeast,Casino,2025,1,1,2,Monday,0,20,5,5,5,248.15,225.56,0.0,22.59,3,106,0,98.61,80.54,52.49,60.31,53.95,5.43
2025-01-27,LOC0002,North Jefferyhaven Gaming Center,Midwest,Bar,2025,1,1,2,Monday,0,9,6,6,5,262.44,234.47,0.0,27.97,0,0,0,56.78,9.3,14.08,32.21,26.89,5.43
2025-01-27,LOC0003,Lake Roberto Gaming Center,Southeast,Bar,2025,1,1,2,Monday,0,26,6,6,4,572.65,532.88,0.0,39.77,1,5,0,67.41,17.04,26.42,37.04,36.99,5.0
2025-01-27,LOC0004,Lake Stephenville Gaming Center,Northeast,Entertainment Center,2025,1,1,2,Monday,0,10,4,4,3,291.86,266.49,0.0,25.37,3,107,0,9.52,25.38,21.25,25.17,34.03,4.14
2025-01-27,LOC0005,North Donnaport Gaming Center,Northeast,Entertainment Center,2025,1,1,2,Monday,0,12,4,4,2,203.49,184.27,0.0,19.22,0,0,0,15.31,16.36,28.97,15.16,12.84,2.29
2025-01-27,LOC0006,Jasonview Gaming Center,Southwest,Casino,2025,1,1,2,Monday,0,33,10,10,7,819.62,769.47,0.0,50.15,1,16,0,140.18,15.89,52.68,77.61,67.45,7.14
2025-01-27,LOC0007,Meganton Gaming Center,Northeast,Casino,2025,1,1,2,Monday,0,34,13,12,8,1281.68,1184.22,0.0,97.46,7,140,0,62.94,70.68,64.15,77.68,64.75,7.43
2025-01-27,LOC0008,Lake Victor Gaming Center,Southeast,Bar,2025,1,1,2,Monday,0,36,10,10,5,1635.98,1465.01,0.0,170.97,4,44,0,59.84,20.1,12.0,38.71,29.17,6.29
2025-01-27,LOC0009,Coxberg Gaming Center,West,Entertainment Center,2025,1,1,2,Monday,0,9,4,4,3,203.3,178.14,0.0,25.16,2,55,0,123.05,35.0,12.14,75.82,40.43,4.86
2025-01-27,LOC0010,South Patrickmouth Gaming Center,Northeast,Entertainment Center,2025,1,1,2,Monday,0,6,2,2,2,123.52,109.19,0.0,14.33,1,5,0,46.68,4.16,15.3,32.91,24.38,3.43
2025-01-28,LOC0001,North Judithbury Gaming Center,Northeast,Casino,2025,1,1,3,Tuesday,0,24,6,6,5,430.82,389.96,0.0,40.86,2,17,0,22.59,32.47,35.53,52.03,52.79,5.43
2025-01-28,LOC0002,North Jefferyhaven Gaming Center,Midwest,Bar,2025,1,1,3,Tuesday,0,21,8,8,5,289.04,252.26,0.0,36.78,7,135,0,27.97,46.14,61.14,34.88,26.93,5.57
2025-01-28,LOC0003,Lake Roberto Gaming Center,Southeast,Bar,2025,1,1,3,Tuesday,0,36,6,6,4,710.4,647.78,0.0,62.62,3,45,0,39.77,22.83,44.76,40.29,37.1,5.14
